n,true_p,false_p,n_nodes,h,seed,alpha,shd,recall,precision,fdr,fpr
300,0.4,0.2,15,2,3407,0.7,28,0.7941,0.5625,0.4375,0.2958
300,0.4,0.2,15,2,3407,0.8,21,0.7353,0.6579,0.3421,0.1831
300,0.4,0.2,15,2,3407,0.9,25,0.7647,0.6047,0.3953,0.2394
300,0.4,0.2,15,2,7331,0.7,16,0.7083,0.5862,0.4138,0.1481
300,0.4,0.2,15,2,7331,0.8,14,0.75,0.6429,0.3571,0.1235
300,0.4,0.2,15,2,7331,0.9,13,0.7917,0.6552,0.3448,0.1235
300,0.4,0.2,15,2,104729,0.7,18,0.7,0.7,0.3,0.12
300,0.4,0.2,15,2,104729,0.8,19,0.6667,0.6897,0.3103,0.12
300,0.4,0.2,15,2,104729,0.9,16,0.6667,0.7692,0.2308,0.08
300,0.4,0.0,15,2,3407,0.7,21,0.8235,0.6512,0.3488,0.2113
300,0.4,0.0,15,2,3407,0.8,26,0.7941,0.587,0.413,0.2676
300,0.4,0.0,15,2,3407,0.9,19,0.7353,0.7143,0.2857,0.1408
300,0.4,0.0,15,2,7331,0.7,15,0.75,0.6,0.4,0.1481
300,0.4,0.0,15,2,7331,0.8,11,0.7917,0.7308,0.2692,0.0864
300,0.4,0.0,15,2,7331,0.9,12,0.7083,0.7391,0.2609,0.0741
300,0.4,0.0,15,2,104729,0.7,17,0.8333,0.6757,0.3243,0.16
300,0.4,0.0,15,2,104729,0.8,15,0.8333,0.6944,0.3056,0.1467
300,0.4,0.0,15,2,104729,0.9,16,0.7333,0.7333,0.2667,0.1067
300,0.4,0.2,35,2,3407,0.7,75,0.7333,0.4955,0.5045,0.1077
300,0.4,0.2,35,2,3407,0.8,70,0.72,0.5192,0.4808,0.0962
300,0.4,0.2,35,2,3407,0.9,77,0.7467,0.487,0.513,0.1135
300,0.4,0.2,35,2,7331,0.7,113,0.5556,0.3175,0.6825,0.1644
300,0.4,0.2,35,2,7331,0.8,82,0.5972,0.43,0.57,0.109
300,0.4,0.2,35,2,7331,0.9,89,0.5972,0.4057,0.5943,0.1205
300,0.4,0.2,35,2,104729,0.7,90,0.6377,0.4037,0.5963,0.1236
300,0.4,0.2,35,2,104729,0.8,84,0.6377,0.419,0.581,0.116
300,0.4,0.2,35,2,104729,0.9,88,0.6232,0.3981,0.6019,0.1236
300,0.4,0.0,35,2,3407,0.7,89,0.7467,0.4409,0.5591,0.1365
300,0.4,0.0,35,2,3407,0.8,72,0.72,0.5094,0.4906,0.1
300,0.4,0.0,35,2,3407,0.9,91,0.7467,0.4341,0.5659,0.1404
300,0.4,0.0,35,2,7331,0.7,104,0.6528,0.3701,0.6299,0.153
300,0.4,0.0,35,2,7331,0.8,93,0.6111,0.3964,0.6036,0.1281
300,0.4,0.0,35,2,7331,0.9,108,0.625,0.3462,0.6538,0.1625
300,0.4,0.0,35,2,104729,0.7,84,0.6812,0.4196,0.5804,0.1236
300,0.4,0.0,35,2,104729,0.8,95,0.7101,0.392,0.608,0.1445
300,0.4,0.0,35,2,104729,0.9,92,0.6522,0.3879,0.6121,0.135
