n,true_p,false_p,n_nodes,h,seed,lambda_param,variant,variant_label,train_time_sec,shd,recall,precision,fdr,fpr,F1
300,0.4,0.2,15,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,30.79699999999866,19,0.8235,0.6829,0.3171,0.1831,0.7467
300,0.4,0.2,15,2,3407,1,closure_power,传递闭包 + 幂法,39.82800000000134,26,0.7941,0.587,0.413,0.2676,0.675
300,0.4,0.2,15,2,3407,1,no_constraint,无约束,34.09300000000076,24,0.7941,0.6136,0.3864,0.2394,0.6923
300,0.4,0.2,15,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,19.172000000005937,19,0.5909,0.5652,0.4348,0.1205,0.5778
300,0.4,0.2,15,2,7329,1,closure_power,传递闭包 + 幂法,11.062999999994645,14,0.5909,0.65,0.35,0.0843,0.619
300,0.4,0.2,15,2,7329,1,no_constraint,无约束,13.81199999999808,17,0.6364,0.6087,0.3913,0.1084,0.6222
300,0.4,0.2,15,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,36.98500000000058,20,0.8667,0.619,0.381,0.2133,0.7222
300,0.4,0.2,15,2,104729,1,closure_power,传递闭包 + 幂法,46.73500000000058,15,0.6333,0.8261,0.1739,0.0533,0.717
300,0.4,0.2,15,2,104729,1,no_constraint,无约束,41.48399999999674,18,0.8333,0.641,0.359,0.1867,0.7246
300,0.4,0.2,15,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,18.5,13,0.7391,0.68,0.32,0.0976,0.7083
300,0.4,0.2,15,2,2015,1,closure_power,传递闭包 + 幂法,10.844000000004598,13,0.5652,0.8125,0.1875,0.0366,0.6667
300,0.4,0.2,15,2,2015,1,no_constraint,无约束,13.046999999998661,15,0.5217,0.6316,0.3684,0.0854,0.5714
300,0.4,0.0,15,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,31.656000000002678,19,0.8235,0.6829,0.3171,0.1831,0.7467
300,0.4,0.0,15,2,3407,1,closure_power,传递闭包 + 幂法,33.70299999999406,17,0.7941,0.7297,0.2703,0.1408,0.7606
300,0.4,0.0,15,2,3407,1,no_constraint,无约束,23.639999999999418,22,0.7353,0.6579,0.3421,0.1831,0.6944
300,0.4,0.0,15,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,12.640999999995984,20,0.5909,0.5417,0.4583,0.1325,0.5652
300,0.4,0.0,15,2,7329,1,closure_power,传递闭包 + 幂法,18.889999999999418,14,0.6818,0.6818,0.3182,0.0843,0.6818
300,0.4,0.0,15,2,7329,1,no_constraint,无约束,15.98399999999674,18,0.6364,0.5833,0.4167,0.1205,0.6087
300,0.4,0.0,15,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,27.531000000002678,19,0.8667,0.6341,0.3659,0.2,0.7324
300,0.4,0.0,15,2,104729,1,closure_power,传递闭包 + 幂法,41.82800000000134,17,0.8,0.6857,0.3143,0.1467,0.7385
300,0.4,0.0,15,2,104729,1,no_constraint,无约束,49.984000000004016,16,0.8333,0.6757,0.3243,0.16,0.7463
300,0.4,0.0,15,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,19.890999999995984,10,0.7391,0.7727,0.2273,0.061,0.7556
300,0.4,0.0,15,2,2015,1,closure_power,传递闭包 + 幂法,12.952999999994063,11,0.6957,0.8,0.2,0.0488,0.7442
300,0.4,0.0,15,2,2015,1,no_constraint,无约束,14.35899999999674,14,0.5217,0.6667,0.3333,0.0732,0.5854
300,0.6,0.2,15,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,25.6559999999954,15,0.8235,0.7568,0.2432,0.1268,0.7887
300,0.6,0.2,15,2,3407,1,closure_power,传递闭包 + 幂法,23.56199999999808,20,0.7941,0.675,0.325,0.1831,0.7297
300,0.6,0.2,15,2,3407,1,no_constraint,无约束,30.781000000002678,23,0.7941,0.6279,0.3721,0.2254,0.7013
300,0.6,0.2,15,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,15.014999999999418,18,0.6364,0.5833,0.4167,0.1205,0.6087
300,0.6,0.2,15,2,7329,1,closure_power,传递闭包 + 幂法,50.43800000000192,11,0.5909,0.8667,0.1333,0.0241,0.7027
300,0.6,0.2,15,2,7329,1,no_constraint,无约束,17.610000000000582,16,0.6364,0.6364,0.3636,0.0964,0.6364
300,0.6,0.2,15,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,22.765999999995984,23,0.8,0.5714,0.4286,0.24,0.6667
300,0.6,0.2,15,2,104729,1,closure_power,传递闭包 + 幂法,54.73500000000058,16,0.7,0.7241,0.2759,0.1067,0.7119
300,0.6,0.2,15,2,104729,1,no_constraint,无约束,37.34399999999732,17,0.8333,0.6579,0.3421,0.1733,0.7353
300,0.6,0.2,15,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,17.625,13,0.7826,0.6667,0.3333,0.1098,0.72
300,0.6,0.2,15,2,2015,1,closure_power,传递闭包 + 幂法,12.139999999999418,17,0.4783,0.6471,0.3529,0.0732,0.55
300,0.6,0.2,15,2,2015,1,no_constraint,无约束,13.203000000001339,14,0.5652,0.65,0.35,0.0854,0.6047
300,0.6,0.0,15,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,21.45300000000134,20,0.8529,0.6591,0.3409,0.2113,0.7436
300,0.6,0.0,15,2,3407,1,closure_power,传递闭包 + 幂法,57.0,25,0.7353,0.6098,0.3902,0.2254,0.6667
300,0.6,0.0,15,2,3407,1,no_constraint,无约束,30.95300000000134,23,0.7941,0.6279,0.3721,0.2254,0.7013
300,0.6,0.0,15,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,33.375,17,0.7273,0.5926,0.4074,0.1325,0.6531
300,0.6,0.0,15,2,7329,1,closure_power,传递闭包 + 幂法,12.530999999995402,13,0.5455,0.8,0.2,0.0361,0.6486
300,0.6,0.0,15,2,7329,1,no_constraint,无约束,15.25,17,0.6364,0.6087,0.3913,0.1084,0.6222
300,0.6,0.0,15,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,36.68699999999808,23,0.8,0.5854,0.4146,0.2267,0.6761
300,0.6,0.0,15,2,104729,1,closure_power,传递闭包 + 幂法,21.406000000002678,17,0.6,0.7826,0.2174,0.0667,0.6792
300,0.6,0.0,15,2,104729,1,no_constraint,无约束,43.25,18,0.8,0.6486,0.3514,0.1733,0.7164
300,0.6,0.0,15,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,21.64100000000326,6,0.8261,0.8636,0.1364,0.0366,0.8444
300,0.6,0.0,15,2,2015,1,closure_power,传递闭包 + 幂法,14.203000000001339,14,0.5652,0.6842,0.3158,0.0732,0.619
300,0.6,0.0,15,2,2015,1,no_constraint,无约束,17.54699999999866,15,0.5217,0.6316,0.3684,0.0854,0.5714
300,0.4,0.2,30,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,303.42200000000594,81,0.7846,0.425,0.575,0.1865,0.5514
300,0.4,0.2,30,2,3407,1,closure_power,传递闭包 + 幂法,252.01600000000326,69,0.6462,0.4719,0.5281,0.127,0.5455
300,0.4,0.2,30,2,3407,1,no_constraint,无约束,14779.483999999997,85,0.7538,0.405,0.595,0.1946,0.5269
300,0.4,0.2,30,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,106.39100000000326,42,0.7045,0.5,0.5,0.0793,0.5849
300,0.4,0.2,30,2,7329,1,closure_power,传递闭包 + 幂法,130.65600000000268,36,0.4318,0.6333,0.3667,0.0281,0.5135
300,0.4,0.2,30,2,7329,1,no_constraint,无约束,112.82800000000861,39,0.6591,0.537,0.463,0.0639,0.5918
300,0.4,0.2,30,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,137.28100000000268,54,0.7636,0.506,0.494,0.1079,0.6087
300,0.4,0.2,30,2,104729,1,closure_power,传递闭包 + 幂法,73.84399999999732,64,0.6545,0.4337,0.5663,0.1237,0.5217
300,0.4,0.2,30,2,104729,1,no_constraint,无约束,132.17199999999139,76,0.7273,0.381,0.619,0.1711,0.5
300,0.4,0.2,30,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,152.59399999999732,36,0.8125,0.5821,0.4179,0.0724,0.6783
300,0.4,0.2,30,2,2015,1,closure_power,传递闭包 + 幂法,99.07799999999406,27,0.6667,0.7273,0.2727,0.031,0.6957
300,0.4,0.2,30,2,2015,1,no_constraint,无约束,216.5159999999887,31,0.8125,0.6393,0.3607,0.0568,0.7156
300,0.4,0.0,30,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,341.5149999999994,73,0.7692,0.4587,0.5413,0.1595,0.5747
300,0.4,0.0,30,2,3407,1,closure_power,传递闭包 + 幂法,83.03100000000268,69,0.7385,0.466,0.534,0.1486,0.5714
