n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr
300,0.4,0.2,15,2,3407,0.1,max,31,0.8529,0.5273,0.4727,0.3662
300,0.4,0.2,15,2,3407,0.1,softplus,34,0.8235,0.5,0.5,0.3944
300,0.4,0.2,15,2,3407,0.1,potential,35,0.8529,0.4915,0.5085,0.4225
300,0.4,0.2,15,2,3407,0.1,tanh,24,0.8529,0.5918,0.4082,0.2817
300,0.4,0.2,15,2,7331,0.1,max,27,0.9167,0.4681,0.5319,0.3086
300,0.4,0.2,15,2,7331,0.1,softplus,29,0.875,0.4468,0.5532,0.321
300,0.4,0.2,15,2,7331,0.1,potential,27,0.875,0.4667,0.5333,0.2963
300,0.4,0.2,15,2,7331,0.1,tanh,11,0.75,0.6923,0.3077,0.0988
300,0.4,0.2,15,2,104729,0.1,max,28,0.9333,0.5091,0.4909,0.36
300,0.4,0.2,15,2,104729,0.1,softplus,29,0.8667,0.4906,0.5094,0.36
300,0.4,0.2,15,2,104729,0.1,potential,29,0.9333,0.5,0.5,0.3733
300,0.4,0.2,15,2,104729,0.1,tanh,17,0.8333,0.625,0.375,0.2
300,0.4,0.0,15,2,3407,0.1,max,28,0.8529,0.5577,0.4423,0.3239
300,0.4,0.0,15,2,3407,0.1,softplus,30,0.8529,0.537,0.463,0.3521
300,0.4,0.0,15,2,3407,0.1,potential,29,0.8529,0.5472,0.4528,0.338
300,0.4,0.0,15,2,3407,0.1,tanh,28,0.7941,0.551,0.449,0.3099
300,0.4,0.0,15,2,7331,0.1,max,28,0.75,0.4286,0.5714,0.2963
300,0.4,0.0,15,2,7331,0.1,softplus,27,0.8333,0.4444,0.5556,0.3086
300,0.4,0.0,15,2,7331,0.1,potential,26,0.875,0.4667,0.5333,0.2963
300,0.4,0.0,15,2,7331,0.1,tanh,12,0.75,0.6667,0.3333,0.1111
300,0.4,0.0,15,2,104729,0.1,max,27,0.9,0.5094,0.4906,0.3467
300,0.4,0.0,15,2,104729,0.1,softplus,30,0.8667,0.4815,0.5185,0.3733
300,0.4,0.0,15,2,104729,0.1,potential,29,0.9,0.4909,0.5091,0.3733
