true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
0.4,0.2,10,2,8675309,with_constraint,6,0.7222,0.9286,0.0714,0.037
0.4,0.2,10,2,8675309,no_constraint,10,0.5,0.6923,0.3077,0.1481
0.4,0.0,10,2,8675309,with_constraint,4,0.7778,1.0,0.0,0.0
0.4,0.0,10,2,8675309,no_constraint,10,0.5,0.6923,0.3077,0.1481
0.6,0.2,10,2,8675309,with_constraint,6,0.7778,0.8235,0.1765,0.1111
0.6,0.2,10,2,8675309,no_constraint,10,0.5,0.6923,0.3077,0.1481
0.6,0.0,10,2,8675309,with_constraint,3,0.8333,0.9375,0.0625,0.037
0.6,0.0,10,2,8675309,no_constraint,11,0.4444,0.6667,0.3333,0.1481
0.4,0.2,30,2,8675309,with_constraint,46,0.6825,0.5972,0.4028,0.078
0.4,0.2,30,2,8675309,no_constraint,57,0.4286,0.5,0.5,0.0726
0.4,0.0,30,2,8675309,with_constraint,45,0.7302,0.5974,0.4026,0.0833
0.4,0.0,30,2,8675309,no_constraint,68,0.3968,0.4098,0.5902,0.0968
0.6,0.2,30,2,8675309,with_constraint,54,0.7778,0.5444,0.4556,0.1102
0.6,0.2,30,2,8675309,no_constraint,60,0.3492,0.4889,0.5111,0.0618
0.6,0.0,30,2,8675309,with_constraint,45,0.7937,0.6024,0.3976,0.0887
0.6,0.0,30,2,8675309,no_constraint,59,0.3968,0.5,0.5,0.0672
0.4,0.2,10,2,8675309,with_constraint,6,0.7222,0.9286,0.0714,0.037
0.4,0.2,10,2,8675309,no_constraint,7,0.6111,1.0,0.0,0.0
0.4,0.0,10,2,8675309,with_constraint,5,0.7222,1.0,0.0,0.0
0.4,0.0,10,2,8675309,no_constraint,8,0.5556,0.9091,0.0909,0.037
0.6,0.2,10,2,8675309,with_constraint,7,0.7222,0.8667,0.1333,0.0741
0.6,0.2,10,2,8675309,no_constraint,7,0.6111,1.0,0.0,0.0
0.6,0.0,10,2,8675309,with_constraint,7,0.6111,1.0,0.0,0.0
0.6,0.0,10,2,8675309,no_constraint,8,0.5556,0.9091,0.0909,0.037
0.4,0.2,30,2,8675309,with_constraint,21,0.746,0.8868,0.1132,0.0161
0.4,0.2,30,2,8675309,no_constraint,34,0.4762,0.8824,0.1176,0.0108
0.4,0.0,30,2,8675309,with_constraint,16,0.746,0.9792,0.0208,0.0027
0.4,0.0,30,2,8675309,no_constraint,33,0.4921,0.9118,0.0882,0.0081
0.6,0.2,30,2,8675309,with_constraint,20,0.7937,0.8621,0.1379,0.0215
0.6,0.2,30,2,8675309,no_constraint,34,0.4762,0.8571,0.1429,0.0134
0.6,0.0,30,2,8675309,with_constraint,13,0.7937,0.9804,0.0196,0.0027
0.6,0.0,30,2,8675309,no_constraint,34,0.4762,0.8824,0.1176,0.0108
