n,true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
300,0.4,0.2,20,2,3407,with_constraint_adj,40,0.825,0.5,0.5,0.22
300,0.4,0.2,20,2,3407,with_constraint_tc,23,0.75,0.6818,0.3182,0.0933
300,0.4,0.2,20,2,3407,no_constraint,22,0.725,0.7073,0.2927,0.08
300,0.4,0.2,20,2,7331,with_constraint_adj,34,0.8286,0.5,0.5,0.1871
300,0.4,0.2,20,2,7331,with_constraint_tc,29,0.6857,0.5581,0.4419,0.1226
300,0.4,0.2,20,2,7331,no_constraint,24,0.6857,0.6154,0.3846,0.0968
300,0.4,0.2,20,2,104729,with_constraint_adj,34,0.871,0.4737,0.5263,0.1887
300,0.4,0.2,20,2,104729,with_constraint_tc,28,0.7097,0.5238,0.4762,0.1258
300,0.4,0.2,20,2,104729,no_constraint,27,0.7097,0.5366,0.4634,0.1195
300,0.4,0.2,20,2,8675309,with_constraint_adj,65,0.8718,0.3579,0.6421,0.404
300,0.4,0.2,20,2,8675309,with_constraint_tc,24,0.7692,0.6667,0.3333,0.0993
300,0.4,0.2,20,2,8675309,no_constraint,35,0.7692,0.5357,0.4643,0.1722
300,0.4,0.0,20,2,3407,with_constraint_adj,44,0.825,0.4714,0.5286,0.2467
300,0.4,0.0,20,2,3407,with_constraint_tc,26,0.725,0.6304,0.3696,0.1133
300,0.4,0.0,20,2,3407,no_constraint,27,0.7,0.6087,0.3913,0.12
300,0.4,0.0,20,2,7331,with_constraint_adj,33,0.8,0.5091,0.4909,0.1742
300,0.4,0.0,20,2,7331,with_constraint_tc,21,0.7429,0.65,0.35,0.0903
300,0.4,0.0,20,2,7331,no_constraint,28,0.7143,0.5556,0.4444,0.129
300,0.4,0.0,20,2,104729,with_constraint_adj,33,0.871,0.4821,0.5179,0.1824
300,0.4,0.0,20,2,104729,with_constraint_tc,28,0.7097,0.5238,0.4762,0.1258
300,0.4,0.0,20,2,104729,no_constraint,27,0.7097,0.5366,0.4634,0.1195
300,0.4,0.0,20,2,8675309,with_constraint_adj,57,0.8974,0.3933,0.6067,0.3576
300,0.4,0.0,20,2,8675309,with_constraint_tc,28,0.7436,0.6042,0.3958,0.1258
