测试配置,方法,FDR,TPR,FPR,SHD,NNZ,Precision,Recall,F1,G-Score
15节点60边,无先验修正,0.0,0.2037,0.0,43,11,1.0,0.2037,0.3385,0.2037
15节点60边,有向边约束,0.0,0.5556,0.0,24,30,1.0,0.5556,0.7143,0.5556
15节点60边,无边约束,0.0,0.2037,0.0,43,11,1.0,0.2037,0.3385,0.2037
15节点60边,混合约束,0.0,0.5556,0.0,24,30,1.0,0.5556,0.7143,0.5556
15节点90边,无先验修正,0.0909,0.1176,0.05,75,11,0.9091,0.1176,0.2083,0.1059
15节点90边,有向边约束,0.0,0.4471,0.0,47,38,1.0,0.4471,0.6179,0.4471
15节点90边,无边约束,0.0909,0.1176,0.05,75,11,0.9091,0.1176,0.2083,0.1059
15节点90边,混合约束,0.0,0.4706,0.0,45,40,1.0,0.4706,0.64,0.4706
20节点80边,无先验修正,0.1,0.2195,0.0185,65,20,0.9,0.2195,0.3529,0.1951
20节点80边,有向边约束,0.037,0.6341,0.0185,32,54,0.963,0.6341,0.7647,0.6098
20节点80边,无边约束,0.05,0.2317,0.0093,64,20,0.95,0.2317,0.3725,0.2195
20节点80边,混合约束,0.0364,0.6463,0.0185,31,55,0.9636,0.6463,0.7737,0.622
20节点120边,无先验修正,0.0556,0.1429,0.0141,102,18,0.9444,0.1429,0.2482,0.1345
20节点120边,有向边约束,0.0303,0.5378,0.0282,55,66,0.9697,0.5378,0.6919,0.521
20节点120边,无边约束,0.0556,0.1429,0.0141,102,18,0.9444,0.1429,0.2482,0.1345
20节点120边,混合约束,0.0154,0.5378,0.0141,55,65,0.9846,0.5378,0.6957,0.5294
