n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr,f1_score
200,0.4,0.4,15,2,3407,0.1,max_soft_regulation,28,0.9412,0.5517,0.4483,0.3662,0.6956394132225869
200,0.4,0.4,15,2,3407,0.1,dsgp,26,0.3824,0.6842,0.2632,0.0704,0.4906020626289144
200,0.4,0.4,15,2,3407,0.1,无先验,28,0.9118,0.5536,0.4464,0.3521,0.6889210863927937
200,0.4,0.4,15,2,7331,0.1,max_soft_regulation,27,0.7917,0.4524,0.5476,0.284,0.5757818181818183
200,0.4,0.4,15,2,7331,0.1,dsgp,17,0.4167,0.7143,0.2857,0.0494,0.5263462599469497
200,0.4,0.4,15,2,7331,0.1,无先验,25,0.8333,0.4878,0.5122,0.2593,0.6153716448414202
200,0.4,0.4,15,2,104729,0.1,max_soft_regulation,27,0.8333,0.5208,0.4792,0.3067,0.6409905324569825
200,0.4,0.4,15,2,104729,0.1,dsgp,22,0.4,0.7059,0.2353,0.0533,0.5106429152726286
200,0.4,0.4,15,2,104729,0.1,无先验,29,0.8333,0.5,0.5,0.3333,0.6249906247656192
200,0.4,0.2,15,2,3407,0.1,max_soft_regulation,30,0.9118,0.5345,0.4655,0.3803,0.6739363894074535
200,0.4,0.2,15,2,3407,0.1,dsgp,23,0.3824,0.8667,0.1333,0.0282,0.530663805940277
200,0.4,0.2,15,2,3407,0.1,无先验,27,0.9706,0.5593,0.4407,0.3662,0.7096628276357932
200,0.4,0.2,15,2,7331,0.1,max_soft_regulation,21,0.8333,0.5263,0.4737,0.2222,0.6451394380700206
200,0.4,0.2,15,2,7331,0.1,dsgp,16,0.375,0.75,0.0833,0.0123,0.5
200,0.4,0.2,15,2,7331,0.1,无先验,20,0.8333,0.5405,0.4595,0.2099,0.6556975542291454
200,0.4,0.2,15,2,104729,0.1,max_soft_regulation,30,0.8333,0.4902,0.5098,0.3467,0.6172779146203249
200,0.4,0.2,15,2,104729,0.1,dsgp,20,0.4,0.8,0.1333,0.0267,0.5333333333333333
200,0.4,0.2,15,2,104729,0.1,无先验,30,0.8,0.4898,0.5102,0.3333,0.6075980772212746
200,0.6,0.4,15,2,3407,0.1,max_soft_regulation,31,0.8824,0.5172,0.4828,0.3944,0.65215387253501
200,0.6,0.4,15,2,3407,0.1,dsgp,22,0.5882,0.7143,0.2857,0.1127,0.6451458886756237
200,0.6,0.4,15,2,3407,0.1,无先验,37,0.8824,0.4688,0.5312,0.4789,0.6122988750740083
200,0.6,0.4,15,2,7331,0.1,max_soft_regulation,23,0.875,0.4884,0.5116,0.2716,0.6268886607011882
200,0.6,0.4,15,2,7331,0.1,dsgp,15,0.5833,0.7368,0.2632,0.0617,0.6511255813953488
200,0.6,0.4,15,2,7331,0.1,无先验,24,0.8333,0.4762,0.5238,0.2716,0.6060595036273386
200,0.6,0.4,15,2,104729,0.1,max_soft_regulation,30,0.8667,0.4906,0.5094,0.36,0.6265424298239152
200,0.6,0.4,15,2,104729,0.1,dsgp,19,0.6,0.6923,0.2692,0.0933,0.6428538265108721
200,0.6,0.4,15,2,104729,0.1,无先验,31,0.8333,0.4808,0.5192,0.36,0.6097719199452096
200,0.6,0.2,15,2,3407,0.1,max_soft_regulation,29,0.9412,0.5333,0.4667,0.3944,0.6808300576466599
200,0.6,0.2,15,2,3407,0.1,dsgp,18,0.5882,0.8,0.16,0.0563,0.6779426595591413
200,0.6,0.2,15,2,3407,0.1,无先验,35,0.9412,0.4848,0.5152,0.4789,0.6399631977559608
200,0.6,0.2,15,2,7331,0.1,max_soft_regulation,21,0.8333,0.5,0.5,0.2469,0.6249906247656192
200,0.6,0.2,15,2,7331,0.1,dsgp,12,0.5833,0.8235,0.1176,0.0247,0.6828938726187092
200,0.6,0.2,15,2,7331,0.1,无先验,21,0.875,0.5122,0.4878,0.2469,0.6461577277970011
