n,true_p,false_p,n_nodes,h,seed,l1_lambda,l2_lambda,method,shd,recall,precision,f1_score,fdr,fpr
200,0.4,0.2,15,2,3407,0.3,0.1,orient,34,0.7647,0.4727,0.5842471149183772,0.5273,0.4085
200,0.4,0.2,15,2,3407,,,no_constraint,36,0.8235,0.4828,0.6087205083059022,0.5172,0.4225
200,0.4,0.2,15,2,7331,0.3,0.1,orient,20,0.75,0.5455,0.631609417213431,0.4545,0.1852
200,0.4,0.2,15,2,7331,,,no_constraint,25,0.7083,0.4474,0.5484008306653977,0.5526,0.2593
200,0.4,0.2,15,2,104729,0.3,0.1,orient,24,0.8333,0.5556,0.6666879976960184,0.4444,0.2667
200,0.4,0.2,15,2,104729,,,no_constraint,30,0.6667,0.4762,0.5555736109895878,0.5238,0.2933
200,0.4,0.0,15,2,3407,0.3,0.1,orient,32,0.8824,0.5085,0.6451943346034942,0.4915,0.4085
200,0.4,0.0,15,2,3407,,,no_constraint,34,0.8824,0.4918,0.6315882986464852,0.5082,0.4366
200,0.4,0.0,15,2,7331,0.3,0.1,orient,18,0.75,0.5806,0.6545167593566812,0.4194,0.1605
200,0.4,0.0,15,2,7331,,,no_constraint,19,0.7083,0.5484,0.6181773215564574,0.4516,0.1728
200,0.4,0.0,15,2,104729,0.3,0.1,orient,31,0.7333,0.4889,0.5866639993454427,0.5111,0.3067
200,0.4,0.0,15,2,104729,,,no_constraint,33,0.6667,0.4255,0.5194668558872001,0.5745,0.36
200,0.6,0.2,15,2,3407,0.3,0.1,orient,38,0.7059,0.4364,0.539358767399107,0.5636,0.4366
200,0.6,0.2,15,2,3407,,,no_constraint,31,0.8824,0.5263,0.659341406970966,0.4737,0.3803
200,0.6,0.2,15,2,7331,0.3,0.1,orient,25,0.7083,0.4595,0.5573965576297312,0.5405,0.2469
200,0.6,0.2,15,2,7331,,,no_constraint,23,0.625,0.4688,0.535746937282867,0.5312,0.2099
200,0.6,0.2,15,2,104729,0.3,0.1,orient,30,0.7,0.4884,0.5753618310333221,0.5116,0.2933
200,0.6,0.2,15,2,104729,,,no_constraint,34,0.7,0.42,0.525,0.58,0.3867
200,0.6,0.0,15,2,3407,0.3,0.1,orient,36,0.8529,0.4833,0.6169833408172429,0.5167,0.4366
200,0.6,0.0,15,2,3407,,,no_constraint,35,0.8529,0.4915,0.6236244421303183,0.5085,0.4225
200,0.6,0.0,15,2,7331,0.3,0.1,orient,22,0.7083,0.5,0.5861954812546554,0.5,0.2099
200,0.6,0.0,15,2,7331,,,no_constraint,22,0.75,0.5143,0.6101795459938306,0.4857,0.2099
200,0.6,0.0,15,2,104729,0.3,0.1,orient,31,0.7,0.4884,0.5753618310333221,0.5116,0.2933
200,0.6,0.0,15,2,104729,,,no_constraint,33,0.6667,0.4255,0.5194668558872001,0.5745,0.36
200,0.4,0.2,30,2,3407,0.3,0.1,orient,133,0.7846,0.2931,0.4267723114039157,0.7069,0.3324
200,0.4,0.2,30,2,3407,,,no_constraint,151,0.7385,0.254,0.3779929471032746,0.746,0.3811
200,0.4,0.2,30,2,7331,0.3,0.1,orient,138,0.7742,0.2697,0.4000416514991857,0.7303,0.3485
200,0.4,0.2,30,2,7331,,,no_constraint,161,0.8387,0.2512,0.3866069180658775,0.7488,0.4155
200,0.4,0.2,30,2,104729,0.3,0.1,orient,104,0.8,0.3165,0.45356023287057773,0.6835,0.25
200,0.4,0.2,30,2,104729,,,no_constraint,106,0.7455,0.2993,0.4271212672281777,0.7007,0.2526
200,0.4,0.0,30,2,3407,0.3,0.1,orient,144,0.7846,0.2757,0.4080245590870508,0.7243,0.3622
200,0.4,0.0,30,2,3407,,,no_constraint,143,0.7692,0.2732,0.4031953952417498,0.7268,0.3595
200,0.4,0.0,30,2,7331,0.3,0.1,orient,140,0.7903,0.2722,0.40493112470588233,0.7278,0.3512
200,0.4,0.0,30,2,7331,,,no_constraint,149,0.8548,0.2704,0.410838819765375,0.7296,0.3834
200,0.4,0.0,30,2,104729,0.3,0.1,orient,111,0.8,0.3034,0.4399492477795903,0.6966,0.2658
200,0.4,0.0,30,2,104729,,,no_constraint,99,0.8,0.3259,0.4631317168487432,0.6741,0.2395
200,0.6,0.2,30,2,3407,0.3,0.1,orient,116,0.8462,0.3374,0.4824398107468739,0.6626,0.2919
200,0.6,0.2,30,2,3407,,,no_constraint,152,0.7846,0.2642,0.39529237223493513,0.7358,0.3838
200,0.6,0.2,30,2,7331,0.3,0.1,orient,125,0.7581,0.2883,0.41773744266055046,0.7117,0.311
200,0.6,0.2,30,2,7331,,,no_constraint,144,0.8065,0.266,0.40005407925407926,0.734,0.37
200,0.6,0.2,30,2,104729,0.3,0.1,orient,98,0.8182,0.3333,0.47365359965262704,0.6667,0.2368
200,0.6,0.2,30,2,104729,,,no_constraint,106,0.7455,0.2993,0.4271212672281777,0.7007,0.2526
200,0.6,0.0,30,2,3407,0.3,0.1,orient,127,0.8154,0.3118,0.451103122782115,0.6882,0.3162
200,0.6,0.0,30,2,3407,,,no_constraint,139,0.7538,0.2737,0.40158649148418485,0.7263,0.3514
200,0.6,0.0,30,2,7331,0.3,0.1,orient,150,0.8871,0.275,0.41984768952757934,0.725,0.3887
200,0.6,0.0,30,2,7331,,,no_constraint,145,0.871,0.2784,0.42193561858360884,0.7216,0.3753
200,0.6,0.0,30,2,104729,0.3,0.1,orient,115,0.8545,0.3052,0.44976011037337243,0.6948,0.2816
200,0.6,0.0,30,2,104729,,,no_constraint,89,0.8,0.352,0.4888888888888889,0.648,0.2132
