,d,n,linear,used_data,ord_num,i,j,fdr,tpr,fpr,precision,recall,f1,extra,missing,reverse,shd,nnz,time
0,sach,853,True,50,1x0,123,123,0.7586,0.4118,0.5789,0.2414,0.4118,0.3044,15,3,7,25,29,0.9379887580871582
1,sach,853,True,50,1x6,123,123,0.7,0.3529,0.3684,0.3,0.3529,0.3243,9,6,5,20,20,1.162123203277588
2,sach,853,True,50,1x8,123,123,0.5882,0.4118,0.2632,0.4118,0.4118,0.4118,6,6,4,16,17,1.4112579822540283
3,sach,853,True,50,1x11,123,123,0.2727,0.4706,0.0789,0.7273,0.4706,0.5714,3,9,0,12,11,0.3670961856842041
4,sach,853,True,100,1x0,123,123,0.65,0.4118,0.3421,0.35,0.4118,0.3784,6,3,7,16,20,0.9843888282775879
5,sach,853,True,100,1x6,123,123,0.6154,0.2941,0.2105,0.3846,0.2941,0.3333,3,7,5,15,13,1.0390734672546387
6,sach,853,True,100,1x8,123,123,0.4167,0.4118,0.1316,0.5833,0.4118,0.4828,1,6,4,11,12,1.3551743030548096
7,sach,853,True,100,1x11,123,123,0.0,0.4118,0.0,1.0,0.4118,0.5834,0,10,0,10,7,0.2548353672027588
8,sach,853,True,500,1x0,123,123,0.6,0.3529,0.2368,0.4,0.3529,0.375,4,6,5,15,15,0.7932274341583252
9,sach,853,True,500,1x6,123,123,0.5,0.3529,0.1579,0.5,0.3529,0.4138,2,7,4,13,12,1.3776447772979736
10,sach,853,True,500,1x8,123,123,0.4,0.3529,0.1053,0.6,0.3529,0.4444,1,8,3,12,10,1.1519742012023926
11,sach,853,True,500,1x11,123,123,0.125,0.4118,0.0263,0.875,0.4118,0.56,1,10,0,11,8,0.24605894088745117
12,sach,853,True,853,1x0,123,123,0.5714,0.3529,0.2105,0.4286,0.3529,0.3871,1,4,7,12,14,1.0790362358093262
13,sach,853,True,853,1x6,123,123,0.5455,0.2941,0.1579,0.4545,0.2941,0.3571,2,8,4,14,11,0.732813835144043
14,sach,853,True,853,1x8,123,123,0.3,0.4118,0.0789,0.7,0.4118,0.5185,0,7,3,10,10,0.5727689266204834
15,sach,853,True,853,1x11,123,123,0.125,0.4118,0.0263,0.875,0.4118,0.56,1,10,0,11,8,0.3159205913543701
