n,true_p,false_p,n_nodes,h,seed,alpha,shd,recall,precision,fdr,fpr
300,0.4,0.2,15,2,3407,0.4,24,0.8235,0.6087,0.3913,0.2535
300,0.4,0.2,15,2,3407,0.6,24,0.7059,0.6316,0.3684,0.1972
300,0.4,0.2,15,2,3407,0.8,19,0.7647,0.7027,0.2973,0.1549
300,0.4,0.2,15,2,7331,0.4,11,0.7917,0.7037,0.2963,0.0988
300,0.4,0.2,15,2,7331,0.6,16,0.7083,0.6071,0.3929,0.1358
300,0.4,0.2,15,2,7331,0.8,12,0.7917,0.6786,0.3214,0.1111
300,0.4,0.2,15,2,104729,0.4,14,0.8,0.75,0.25,0.1067
300,0.4,0.2,15,2,104729,0.6,18,0.7,0.7,0.3,0.12
300,0.4,0.2,15,2,104729,0.8,13,0.7667,0.7931,0.2069,0.08
300,0.4,0.0,15,2,3407,0.4,19,0.8529,0.6744,0.3256,0.1972
300,0.4,0.0,15,2,3407,0.6,22,0.7647,0.65,0.35,0.1972
300,0.4,0.0,15,2,3407,0.8,23,0.7941,0.6279,0.3721,0.2254
300,0.4,0.0,15,2,7331,0.4,19,0.6667,0.5161,0.4839,0.1852
300,0.4,0.0,15,2,7331,0.6,15,0.6667,0.5926,0.4074,0.1358
300,0.4,0.0,15,2,7331,0.8,12,0.7083,0.7391,0.2609,0.0741
300,0.4,0.0,15,2,104729,0.4,14,0.8,0.75,0.25,0.1067
300,0.4,0.0,15,2,104729,0.6,17,0.7,0.7241,0.2759,0.1067
300,0.4,0.0,15,2,104729,0.8,14,0.8,0.75,0.25,0.1067
300,0.6,0.2,15,2,3407,0.4,22,0.7647,0.65,0.35,0.1972
300,0.6,0.2,15,2,3407,0.6,21,0.8235,0.6512,0.3488,0.2113
300,0.6,0.2,15,2,3407,0.8,21,0.7059,0.6857,0.3143,0.1549
300,0.6,0.2,15,2,7331,0.4,16,0.75,0.5806,0.4194,0.1605
300,0.6,0.2,15,2,7331,0.6,13,0.5833,0.7368,0.2632,0.0617
300,0.6,0.2,15,2,7331,0.8,14,0.6667,0.6957,0.3043,0.0864
300,0.6,0.2,15,2,104729,0.4,20,0.8,0.6316,0.3684,0.1867
300,0.6,0.2,15,2,104729,0.6,16,0.7667,0.7188,0.2812,0.12
300,0.6,0.2,15,2,104729,0.8,17,0.7,0.7241,0.2759,0.1067
300,0.6,0.0,15,2,3407,0.4,21,0.8529,0.6444,0.3556,0.2254
300,0.6,0.0,15,2,3407,0.6,24,0.8235,0.5957,0.4043,0.2676
300,0.6,0.0,15,2,3407,0.8,24,0.7647,0.619,0.381,0.2254
300,0.6,0.0,15,2,7331,0.4,10,0.75,0.7826,0.2174,0.0617
300,0.6,0.0,15,2,7331,0.6,10,0.7917,0.76,0.24,0.0741
300,0.6,0.0,15,2,7331,0.8,12,0.7083,0.7391,0.2609,0.0741
300,0.6,0.0,15,2,104729,0.4,18,0.8,0.6667,0.3333,0.16
300,0.6,0.0,15,2,104729,0.6,19,0.8333,0.641,0.359,0.1867
300,0.6,0.0,15,2,104729,0.8,17,0.7667,0.697,0.303,0.1333
300,0.4,0.2,25,2,3407,0.4,35,0.5926,0.6809,0.3191,0.061
300,0.4,0.2,25,2,3407,0.6,34,0.5926,0.6809,0.3191,0.061
300,0.4,0.2,25,2,3407,0.8,36,0.5556,0.6383,0.3617,0.0691
300,0.4,0.2,25,2,7331,0.4,79,0.6296,0.3469,0.6531,0.2602
300,0.4,0.2,25,2,7331,0.6,74,0.5741,0.3563,0.6437,0.2276
300,0.4,0.2,25,2,7331,0.8,61,0.6481,0.443,0.557,0.1789
300,0.4,0.2,25,2,104729,0.4,37,0.6923,0.5,0.5,0.1034
300,0.4,0.2,25,2,104729,0.6,35,0.5897,0.5227,0.4773,0.0805
300,0.4,0.2,25,2,104729,0.8,33,0.5897,0.5349,0.4651,0.0766
300,0.4,0.0,25,2,3407,0.4,34,0.6667,0.6545,0.3455,0.0772
300,0.4,0.0,25,2,3407,0.6,32,0.6296,0.7083,0.2917,0.0569
300,0.4,0.0,25,2,3407,0.8,35,0.6296,0.6538,0.3462,0.0732
300,0.4,0.0,25,2,7331,0.4,57,0.8148,0.4783,0.5217,0.1951
300,0.4,0.0,25,2,7331,0.6,72,0.7778,0.4038,0.5962,0.252
300,0.4,0.0,25,2,7331,0.8,63,0.7407,0.4396,0.5604,0.2073
300,0.4,0.0,25,2,104729,0.4,39,0.6154,0.4615,0.5385,0.1073
300,0.4,0.0,25,2,104729,0.6,34,0.5128,0.5263,0.4737,0.069
300,0.4,0.0,25,2,104729,0.8,36,0.5897,0.5111,0.4889,0.0843
300,0.6,0.2,25,2,3407,0.4,35,0.6111,0.6875,0.3125,0.061
300,0.6,0.2,25,2,3407,0.6,32,0.5741,0.7209,0.2791,0.0488
300,0.6,0.2,25,2,3407,0.8,36,0.537,0.6744,0.3256,0.0569
300,0.6,0.2,25,2,7331,0.4,76,0.7593,0.3832,0.6168,0.2683
300,0.6,0.2,25,2,7331,0.6,62,0.7222,0.4432,0.5568,0.1992
300,0.6,0.2,25,2,7331,0.8,64,0.6667,0.4286,0.5714,0.1951
300,0.6,0.2,25,2,104729,0.4,35,0.7436,0.5179,0.4821,0.1034
300,0.6,0.2,25,2,104729,0.6,37,0.5897,0.5,0.5,0.0881
300,0.6,0.2,25,2,104729,0.8,35,0.5897,0.5111,0.4889,0.0843
300,0.6,0.0,25,2,3407,0.4,31,0.6481,0.7143,0.2857,0.0569
300,0.6,0.0,25,2,3407,0.6,34,0.5926,0.6809,0.3191,0.061
300,0.6,0.0,25,2,3407,0.8,37,0.5926,0.6154,0.3846,0.0813
300,0.6,0.0,25,2,7331,0.4,64,0.7963,0.4433,0.5567,0.2195
300,0.6,0.0,25,2,7331,0.6,63,0.7778,0.4421,0.5579,0.2154
300,0.6,0.0,25,2,7331,0.8,63,0.7593,0.4409,0.5591,0.2114
300,0.6,0.0,25,2,104729,0.4,34,0.6667,0.5417,0.4583,0.0843
300,0.6,0.0,25,2,104729,0.6,38,0.5641,0.4889,0.5111,0.0881
300,0.6,0.0,25,2,104729,0.8,28,0.5897,0.6216,0.3784,0.0536
