n,true_p,false_p,n_nodes,h,seed,alpha,shd,recall,precision,fdr,fpr
1200,0.4,0.2,15,2,3407,0.7,8,0.8235,0.9032,0.0968,0.0423
1200,0.4,0.2,15,2,3407,0.8,8,0.7647,1.0,0.0,0.0
1200,0.4,0.2,15,2,3407,0.9,8,0.7941,0.931,0.069,0.0282
1200,0.4,0.2,15,2,7331,0.7,13,0.5417,0.7222,0.2778,0.0617
1200,0.4,0.2,15,2,7331,0.8,11,0.625,0.7895,0.2105,0.0494
1200,0.4,0.2,15,2,7331,0.9,10,0.5833,0.8235,0.1765,0.037
1200,0.4,0.2,15,2,104729,0.7,11,0.6667,0.9524,0.0476,0.0133
1200,0.4,0.2,15,2,104729,0.8,11,0.6667,0.9524,0.0476,0.0133
1200,0.4,0.2,15,2,104729,0.9,13,0.6333,0.9048,0.0952,0.0267
1200,0.4,0.0,15,2,3407,0.7,6,0.8529,0.9667,0.0333,0.0141
1200,0.4,0.0,15,2,3407,0.8,5,0.8824,0.9677,0.0323,0.0141
1200,0.4,0.0,15,2,3407,0.9,6,0.8529,0.9667,0.0333,0.0141
1200,0.4,0.0,15,2,7331,0.7,10,0.625,0.7895,0.2105,0.0494
1200,0.4,0.0,15,2,7331,0.8,11,0.625,0.8333,0.1667,0.037
1200,0.4,0.0,15,2,7331,0.9,12,0.5417,0.7222,0.2778,0.0617
1200,0.4,0.0,15,2,104729,0.7,11,0.6667,0.9524,0.0476,0.0133
1200,0.4,0.0,15,2,104729,0.8,11,0.7333,0.8462,0.1538,0.0533
1200,0.4,0.0,15,2,104729,0.9,10,0.7333,0.9167,0.0833,0.0267
1200,0.4,0.2,35,2,3407,0.7,35,0.56,0.8936,0.1064,0.0096
1200,0.4,0.2,35,2,3407,0.8,34,0.56,0.913,0.087,0.0077
1200,0.4,0.2,35,2,3407,0.9,34,0.56,0.913,0.087,0.0077
1200,0.4,0.2,35,2,7331,0.7,32,0.6111,0.898,0.102,0.0096
1200,0.4,0.2,35,2,7331,0.8,32,0.5833,0.9333,0.0667,0.0057
1200,0.4,0.2,35,2,7331,0.9,31,0.625,0.9184,0.0816,0.0076
1200,0.4,0.2,35,2,104729,0.7,27,0.6377,0.9565,0.0435,0.0038
1200,0.4,0.2,35,2,104729,0.8,28,0.6377,0.9362,0.0638,0.0057
1200,0.4,0.2,35,2,104729,0.9,29,0.6087,0.9545,0.0455,0.0038
1200,0.4,0.0,35,2,3407,0.7,34,0.56,0.8936,0.1064,0.0096
1200,0.4,0.0,35,2,3407,0.8,36,0.5333,0.8889,0.1111,0.0096
1200,0.4,0.0,35,2,3407,0.9,32,0.5867,0.9167,0.0833,0.0077
1200,0.4,0.0,35,2,7331,0.7,30,0.6667,0.8571,0.1429,0.0153
1200,0.4,0.0,35,2,7331,0.8,33,0.625,0.8654,0.1346,0.0134
1200,0.4,0.0,35,2,7331,0.9,35,0.5556,0.9091,0.0909,0.0076
1200,0.4,0.0,35,2,104729,0.7,27,0.6957,0.8889,0.1111,0.0114
1200,0.4,0.0,35,2,104729,0.8,21,0.7536,0.9286,0.0714,0.0076
1200,0.4,0.0,35,2,104729,0.9,25,0.7101,0.9074,0.0926,0.0095
