n,true_p,false_p,n_nodes,h,seed,lambda_param,variant,variant_label,train_time_sec,shd,recall,precision,fdr,fpr,f1_score,F1
200,0.4,0.2,15,2,3407,0.1,closure_inverse,传递闭包 + 逆矩阵,18.78200000000016,31,0.7941,0.5294,0.4706,0.338,0.63528,
200,0.4,0.2,15,2,3407,0.1,closure_power,传递闭包 + 幂法,39.01599999999962,30,0.7941,0.54,0.46,0.3239,0.6428513604677311,
200,0.4,0.2,15,2,3407,0.1,no_constraint,无约束,27.78099999999995,36,0.8824,0.4839,0.5161,0.4507,0.6250360242992022,
200,0.4,0.2,15,2,7331,0.1,closure_inverse,传递闭包 + 逆矩阵,7.938000000000102,21,0.5,0.5217,0.4783,0.1358,0.5106195556425566,
200,0.4,0.2,15,2,7331,0.1,closure_power,传递闭包 + 幂法,26.40599999999995,20,0.625,0.5172,0.4828,0.1728,0.566012957450534,
200,0.4,0.2,15,2,7331,0.1,no_constraint,无约束,13.125,19,0.7083,0.5484,0.4516,0.1728,0.6181773215564574,
200,0.4,0.2,15,2,104729,0.1,closure_inverse,传递闭包 + 逆矩阵,9.030999999999947,28,0.6,0.5,0.5,0.24,0.5454545454545454,
200,0.4,0.2,15,2,104729,0.1,closure_power,传递闭包 + 幂法,83.78099999999995,29,0.5667,0.5,0.5,0.2267,0.5312646479797506,
200,0.4,0.2,15,2,104729,0.1,no_constraint,无约束,18.60900000000038,32,0.7,0.4565,0.5435,0.3333,0.5526156506701254,
200,0.4,0.0,15,2,3407,0.1,closure_inverse,传递闭包 + 逆矩阵,39.0,24,0.8529,0.5918,0.4082,0.2817,0.6987557555201772,
200,0.4,0.0,15,2,3407,0.1,closure_power,传递闭包 + 幂法,83.53099999999995,34,0.8529,0.4915,0.5085,0.4225,0.6236244421303183,
200,0.4,0.0,15,2,3407,0.1,no_constraint,无约束,22.98400000000038,36,0.8235,0.4828,0.5172,0.4225,0.6087205083059022,
200,0.4,0.0,15,2,7331,0.1,closure_inverse,传递闭包 + 逆矩阵,6.719000000000051,21,0.4583,0.5238,0.4762,0.1235,0.4888657774157418,
200,0.4,0.0,15,2,7331,0.1,closure_power,传递闭包 + 幂法,13.469000000000053,24,0.6667,0.4571,0.5429,0.2346,0.5423537462181883,
200,0.4,0.0,15,2,7331,0.1,no_constraint,无约束,13.875,22,0.6667,0.4848,0.5152,0.2099,0.5613828224055579,
200,0.4,0.0,15,2,104729,0.1,closure_inverse,传递闭包 + 逆矩阵,14.858999999999469,28,0.6,0.5,0.5,0.24,0.5454545454545454,
200,0.4,0.0,15,2,104729,0.1,closure_power,传递闭包 + 幂法,32.0,36,0.7,0.42,0.58,0.3867,0.525,
200,0.4,0.0,15,2,104729,0.1,no_constraint,无约束,21.015000000000327,36,0.6667,0.4167,0.5833,0.3733,0.512855621192542,
200,0.6,0.2,15,2,3407,0.1,closure_inverse,传递闭包 + 逆矩阵,7.639999999999418,18,0.7353,0.7143,0.2857,0.1408,0.7246478890728477,
200,0.6,0.2,15,2,3407,0.1,closure_power,传递闭包 + 幂法,37.09400000000005,32,0.7353,0.5208,0.4792,0.3239,0.6097352758538332,
200,0.6,0.2,15,2,3407,0.1,no_constraint,无约束,21.93699999999989,33,0.8824,0.5,0.5,0.4225,0.6383101851851851,
200,0.6,0.2,15,2,7331,0.1,closure_inverse,传递闭包 + 逆矩阵,7.04700000000048,20,0.5833,0.5385,0.4615,0.1481,0.5600054376894278,
200,0.6,0.2,15,2,7331,0.1,closure_power,传递闭包 + 幂法,27.18699999999989,23,0.7083,0.4857,0.5143,0.2222,0.5762501005025126,
200,0.6,0.2,15,2,7331,0.1,no_constraint,无约束,13.094000000000053,25,0.6667,0.4444,0.5556,0.2469,0.5333119971199712,
200,0.6,0.2,15,2,104729,0.1,closure_inverse,传递闭包 + 逆矩阵,7.155999999999949,40,0.4333,0.3171,0.6829,0.3733,0.366203171641791,
200,0.6,0.2,15,2,104729,0.1,closure_power,传递闭包 + 幂法,22.38999999999941,27,0.7333,0.5116,0.4884,0.28,0.6027091011326211,
200,0.6,0.2,15,2,104729,0.1,no_constraint,无约束,20.688000000000105,32,0.6667,0.4545,0.5455,0.32,0.5405193542632893,
200,0.6,0.0,15,2,3407,0.1,closure_inverse,传递闭包 + 逆矩阵,21.64099999999962,22,0.7647,0.619,0.381,0.2254,0.6841790850617908,
200,0.6,0.0,15,2,3407,0.1,closure_power,传递闭包 + 幂法,48.59299999999985,29,0.8529,0.5472,0.4528,0.338,0.6666764945361044,
200,0.6,0.0,15,2,3407,0.1,no_constraint,无约束,24.125,33,0.8529,0.5088,0.4912,0.3944,0.6373731658955718,
200,0.6,0.0,15,2,7331,0.1,closure_inverse,传递闭包 + 逆矩阵,6.078000000000429,23,0.625,0.4839,0.5161,0.1975,0.5454729912525927,
200,0.6,0.0,15,2,7331,0.1,closure_power,传递闭包 + 幂法,22.563000000000105,28,0.6667,0.4103,0.5897,0.284,0.507979591457753,
200,0.6,0.0,15,2,7331,0.1,no_constraint,无约束,11.79699999999957,27,0.6667,0.4211,0.5789,0.2716,0.5161746093031807,
200,0.6,0.0,15,2,104729,0.1,closure_inverse,传递闭包 + 逆矩阵,8.29699999999957,30,0.5333,0.4706,0.5294,0.24,0.4999919912341867,
200,0.6,0.0,15,2,104729,0.1,closure_power,传递闭包 + 幂法,33.53099999999995,28,0.7,0.4884,0.5116,0.2933,0.5753618310333221,
200,0.6,0.0,15,2,104729,0.1,no_constraint,无约束,18.48400000000038,37,0.6667,0.3922,0.6078,0.4133,0.4938705071300405,
200,0.4,0.2,30,2,3407,0.1,closure_inverse,传递闭包 + 逆矩阵,68.26600000000053,131,0.7385,0.2927,0.7073,0.3135,0.4192376842513576,
200,0.4,0.2,30,2,3407,0.1,closure_power,传递闭包 + 幂法,179.09400000000005,119,0.6308,0.295,0.705,0.2649,0.40200043205876,
200,0.4,0.2,30,2,3407,0.1,no_constraint,无约束,115.23400000000038,139,0.7538,0.2768,0.7232,0.3459,0.4049133320395886,
200,0.4,0.2,30,2,7331,0.1,closure_inverse,传递闭包 + 逆矩阵,45.8119999999999,128,0.7419,0.2706,0.7294,0.3324,0.3965592888888889,
200,0.4,0.2,30,2,7331,0.1,closure_power,传递闭包 + 幂法,230.70299999999952,114,0.7097,0.3034,0.6966,0.2708,0.4250774454644161,
200,0.4,0.2,30,2,7331,0.1,no_constraint,无约束,866.6249999999991,154,0.8387,0.2587,0.7413,0.3995,0.39542863131037,
200,0.4,0.2,30,2,104729,0.1,closure_inverse,传递闭包 + 逆矩阵,106.07800000000134,114,0.7455,0.2828,0.7172,0.2737,0.4100503744043567,
200,0.4,0.2,30,2,104729,0.1,closure_power,传递闭包 + 幂法,176.79700000000048,110,0.7455,0.2867,0.7133,0.2684,0.4141345669443906,
200,0.4,0.2,30,2,104729,0.1,no_constraint,无约束,109.45300000000134,95,0.7818,0.3333,0.6667,0.2263,0.4673552865213882,
200,0.4,0.0,30,2,3407,0.1,closure_inverse,传递闭包 + 逆矩阵,55.20300000000134,136,0.8154,0.2928,0.7072,0.3459,0.430877314564158,
200,0.4,0.0,30,2,3407,0.1,closure_power,传递闭包 + 幂法,137.32799999999952,125,0.7231,0.2975,0.7025,0.3,0.4215603566529492,
200,0.4,0.0,30,2,3407,0.1,no_constraint,无约束,126.63999999999942,136,0.7692,0.2841,0.7159,0.3405,0.4149429792082028,
200,0.4,0.0,30,2,7331,0.1,closure_inverse,传递闭包 + 逆矩阵,62.84399999999914,119,0.7903,0.3043,0.6957,0.3003,0.4394085327973689,
200,0.4,0.0,30,2,7331,0.1,closure_power,传递闭包 + 幂法,120.75,123,0.7097,0.2839,0.7161,0.2976,0.4055632648953301,
200,0.4,0.0,30,2,7331,0.1,no_constraint,无约束,134.4380000000001,141,0.8065,0.2703,0.7297,0.3619,0.4048977526002972,
200,0.4,0.0,30,2,104729,0.1,closure_inverse,传递闭包 + 逆矩阵,85.07799999999952,103,0.7455,0.306,0.694,0.2447,0.4339001426533523,
200,0.4,0.0,30,2,104729,0.1,closure_power,传递闭包 + 幂法,141.375,93,0.7818,0.3386,0.6614,0.2211,0.4725410210639057,
200,0.4,0.0,30,2,104729,0.1,no_constraint,无约束,110.51599999999962,106,0.7636,0.3022,0.6978,0.2553,0.433026684180897,
200,0.6,0.2,30,2,3407,0.1,closure_inverse,传递闭包 + 逆矩阵,41.73400000000038,78,0.7692,0.4386,0.5614,0.173,0.5586539493293591,
200,0.6,0.2,30,2,3407,0.1,closure_power,传递闭包 + 幂法,148.03100000000086,107,0.6769,0.3259,0.6741,0.2459,0.4399714998005585,
200,0.6,0.2,30,2,3407,0.1,no_constraint,无约束,106.95300000000134,139,0.7846,0.2802,0.7198,0.3541,0.4129318557475582,
200,0.6,0.2,30,2,7331,0.1,closure_inverse,传递闭包 + 逆矩阵,40.04700000000048,78,0.6774,0.4118,0.5882,0.1609,0.5122168931325743,
200,0.6,0.2,30,2,7331,0.1,closure_power,传递闭包 + 幂法,247.13999999999945,137,0.7419,0.2674,0.7326,0.3378,0.3931121767561676,
200,0.6,0.2,30,2,7331,0.1,no_constraint,无约束,134.21900000000096,141,0.871,0.2842,0.7158,0.3646,0.4285633656509695,
200,0.6,0.2,30,2,104729,0.1,closure_inverse,传递闭包 + 逆矩阵,40.09400000000096,42,0.6909,0.5758,0.4242,0.0737,0.628120659982632,
200,0.6,0.2,30,2,104729,0.1,closure_power,传递闭包 + 幂法,277.9369999999999,86,0.7455,0.3504,0.6496,0.2,0.4767281686285244,
200,0.6,0.2,30,2,104729,0.1,no_constraint,无约束,90.0,99,0.7818,0.3233,0.6767,0.2368,0.4574354176092661,
200,0.6,0.0,30,2,3407,0.1,closure_inverse,传递闭包 + 逆矩阵,127.07799999999952,120,0.8308,0.3273,0.6727,0.3,0.4695982039547535,
200,0.6,0.0,30,2,3407,0.1,closure_power,传递闭包 + 幂法,138.51599999999962,127,0.6615,0.281,0.719,0.2973,0.3944435013262599,
200,0.6,0.0,30,2,3407,0.1,no_constraint,无约束,139.46899999999914,137,0.7231,0.2733,0.7267,0.3378,0.3966744881573665,
200,0.6,0.0,30,2,7331,0.1,closure_inverse,传递闭包 + 逆矩阵,42.8119999999999,114,0.7258,0.3125,0.6875,0.2654,0.4368920350573052,
200,0.6,0.0,30,2,7331,0.1,closure_power,传递闭包 + 幂法,143.125,137,0.8065,0.2793,0.7207,0.3458,0.4149114938294345,
200,0.6,0.0,30,2,7331,0.1,no_constraint,无约束,132.23400000000038,139,0.8387,0.2781,0.7219,0.3619,0.4176978330945559,
200,0.6,0.0,30,2,104729,0.1,closure_inverse,传递闭包 + 逆矩阵,68.78100000000086,81,0.8,0.3761,0.6239,0.1921,0.511657172009183,
200,0.6,0.0,30,2,104729,0.1,closure_power,传递闭包 + 幂法,173.3130000000001,97,0.6545,0.3051,0.6949,0.2158,0.4161899749895789,
200,0.6,0.0,30,2,104729,0.1,no_constraint,无约束,93.70399999999972,104,0.7636,0.3088,0.6912,0.2474,0.4397606863110779,
