n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr
200,0.4,0.2,15,2,3407,0.1,max,41,0.8824,0.4478,0.5522,0.5211
200,0.4,0.2,15,2,3407,0.1,softplus,40,0.9412,0.4571,0.5429,0.5352
200,0.4,0.2,15,2,3407,0.1,potential,42,0.8824,0.4412,0.5588,0.5352
200,0.4,0.2,15,2,3407,0.1,tanh,37,0.8529,0.4754,0.5246,0.4507
200,0.4,0.2,15,2,7331,0.1,max,43,0.7083,0.3091,0.6909,0.4691
200,0.4,0.2,15,2,7331,0.1,softplus,42,0.7917,0.3276,0.6724,0.4815
200,0.4,0.2,15,2,7331,0.1,potential,42,0.75,0.3273,0.6727,0.4568
200,0.4,0.2,15,2,7331,0.1,tanh,21,0.6667,0.5161,0.4839,0.1852
200,0.4,0.2,15,2,104729,0.1,max,39,0.8667,0.4262,0.5738,0.4667
200,0.4,0.2,15,2,104729,0.1,softplus,40,0.8667,0.4194,0.5806,0.48
200,0.4,0.2,15,2,104729,0.1,potential,38,0.9333,0.4375,0.5625,0.48
200,0.4,0.2,15,2,104729,0.1,tanh,31,0.8333,0.4902,0.5098,0.3467
200,0.4,0.0,15,2,3407,0.1,max,36,0.9412,0.4848,0.5152,0.4789
200,0.4,0.0,15,2,3407,0.1,softplus,39,0.8824,0.4615,0.5385,0.493
200,0.4,0.0,15,2,3407,0.1,potential,36,0.9412,0.4848,0.5152,0.4789
200,0.4,0.0,15,2,3407,0.1,tanh,36,0.8529,0.4833,0.5167,0.4366
200,0.4,0.0,15,2,7331,0.1,max,38,0.6667,0.3265,0.6735,0.4074
200,0.4,0.0,15,2,7331,0.1,softplus,43,0.75,0.3103,0.6897,0.4938
200,0.4,0.0,15,2,7331,0.1,potential,38,0.625,0.3261,0.6739,0.3827
200,0.4,0.0,15,2,7331,0.1,tanh,25,0.7083,0.4595,0.5405,0.2469
200,0.4,0.0,15,2,104729,0.1,max,35,0.8667,0.4561,0.5439,0.4133
200,0.4,0.0,15,2,104729,0.1,softplus,38,0.8667,0.4333,0.5667,0.4533
200,0.4,0.0,15,2,104729,0.1,potential,37,0.8,0.4364,0.5636,0.4133
200,0.4,0.0,15,2,104729,0.1,tanh,35,0.6667,0.4082,0.5918,0.3867
200,0.6,0.2,15,2,3407,0.1,max,42,0.9412,0.4444,0.5556,0.5634
200,0.6,0.2,15,2,3407,0.1,softplus,46,0.9706,0.4231,0.5769,0.6338
200,0.6,0.2,15,2,3407,0.1,potential,44,0.9118,0.4247,0.5753,0.5915
200,0.6,0.2,15,2,3407,0.1,tanh,41,0.9118,0.4493,0.5507,0.5352
200,0.6,0.2,15,2,7331,0.1,max,43,0.8333,0.3333,0.6667,0.4938
200,0.6,0.2,15,2,7331,0.1,softplus,41,0.7917,0.3333,0.6667,0.4691
200,0.6,0.2,15,2,7331,0.1,potential,46,0.7917,0.3115,0.6885,0.5185
200,0.6,0.2,15,2,7331,0.1,tanh,24,0.6667,0.4706,0.5294,0.2222
200,0.6,0.2,15,2,104729,0.1,max,48,0.8333,0.3623,0.6377,0.5867
200,0.6,0.2,15,2,104729,0.1,softplus,49,0.8667,0.3662,0.6338,0.6
200,0.6,0.2,15,2,104729,0.1,potential,46,0.9,0.3857,0.6143,0.5733
200,0.6,0.2,15,2,104729,0.1,tanh,32,0.7667,0.4694,0.5306,0.3467
200,0.6,0.0,15,2,3407,0.1,max,39,0.9412,0.4638,0.5362,0.5211
200,0.6,0.0,15,2,3407,0.1,softplus,39,0.9412,0.4638,0.5362,0.5211
200,0.6,0.0,15,2,3407,0.1,potential,41,0.9412,0.4507,0.5493,0.5493
200,0.6,0.0,15,2,3407,0.1,tanh,36,0.9412,0.4848,0.5152,0.4789
200,0.6,0.0,15,2,7331,0.1,max,38,0.7917,0.3519,0.6481,0.4321
200,0.6,0.0,15,2,7331,0.1,softplus,38,0.7917,0.3519,0.6481,0.4321
200,0.6,0.0,15,2,7331,0.1,potential,41,0.7917,0.3333,0.6667,0.4691
200,0.6,0.0,15,2,7331,0.1,tanh,25,0.7083,0.4595,0.5405,0.2469
200,0.6,0.0,15,2,104729,0.1,max,43,0.8,0.3934,0.6066,0.4933
200,0.6,0.0,15,2,104729,0.1,softplus,44,0.9333,0.4,0.6,0.56
200,0.6,0.0,15,2,104729,0.1,potential,43,0.8333,0.3968,0.6032,0.5067
200,0.6,0.0,15,2,104729,0.1,tanh,32,0.8,0.4615,0.5385,0.3733
200,0.4,0.2,35,2,3407,0.1,max,220,0.88,0.2366,0.7634,0.4096
200,0.4,0.2,35,2,3407,0.1,softplus,207,0.8933,0.2509,0.7491,0.3846
200,0.4,0.2,35,2,3407,0.1,potential,214,0.8533,0.2353,0.7647,0.4
200,0.4,0.2,35,2,3407,0.1,tanh,191,0.76,0.2405,0.7595,0.3462
200,0.4,0.2,35,2,7331,0.1,max,214,0.8889,0.2353,0.7647,0.3977
200,0.4,0.2,35,2,7331,0.1,softplus,234,0.9028,0.2211,0.7789,0.4379
200,0.4,0.2,35,2,7331,0.1,potential,205,0.8611,0.2412,0.7588,0.3728
200,0.4,0.2,35,2,7331,0.1,tanh,206,0.7639,0.2218,0.7782,0.369
200,0.4,0.2,35,2,104729,0.1,max,183,0.8406,0.2489,0.7511,0.3327
200,0.4,0.2,35,2,104729,0.1,softplus,212,0.8261,0.2184,0.7816,0.3878
200,0.4,0.2,35,2,104729,0.1,potential,188,0.8116,0.2403,0.7597,0.3365
200,0.4,0.2,35,2,104729,0.1,tanh,153,0.7101,0.2606,0.7394,0.2643
200,0.4,0.0,35,2,3407,0.1,max,206,0.8533,0.2452,0.7548,0.3788
200,0.4,0.0,35,2,3407,0.1,softplus,203,0.88,0.251,0.749,0.3788
200,0.4,0.0,35,2,3407,0.1,potential,195,0.8667,0.2569,0.7431,0.3615
200,0.4,0.0,35,2,3407,0.1,tanh,174,0.8533,0.2771,0.7229,0.3212
200,0.4,0.0,35,2,7331,0.1,max,215,0.875,0.2325,0.7675,0.3977
200,0.4,0.0,35,2,7331,0.1,softplus,218,0.8611,0.2296,0.7704,0.3977
200,0.4,0.0,35,2,7331,0.1,potential,219,0.8611,0.2288,0.7712,0.3996
200,0.4,0.0,35,2,7331,0.1,tanh,207,0.7361,0.2181,0.7819,0.3633
200,0.4,0.0,35,2,104729,0.1,max,160,0.8696,0.2817,0.7183,0.2909
200,0.4,0.0,35,2,104729,0.1,softplus,170,0.8696,0.2679,0.7321,0.3118
200,0.4,0.0,35,2,104729,0.1,potential,181,0.8696,0.2564,0.7436,0.3308
200,0.4,0.0,35,2,104729,0.1,tanh,148,0.6812,0.2611,0.7389,0.2529
200,0.6,0.2,35,2,3407,0.1,max,237,0.9467,0.2336,0.7664,0.4481
200,0.6,0.2,35,2,3407,0.1,softplus,229,0.9067,0.2329,0.7671,0.4308
200,0.6,0.2,35,2,3407,0.1,potential,240,0.9333,0.2295,0.7705,0.4519
200,0.6,0.2,35,2,3407,0.1,tanh,195,0.7467,0.2343,0.7657,0.3519
200,0.6,0.2,35,2,7331,0.1,max,233,0.9306,0.2256,0.7744,0.4398
200,0.6,0.2,35,2,7331,0.1,softplus,263,0.9167,0.2037,0.7963,0.4933
200,0.6,0.2,35,2,7331,0.1,potential,245,0.8889,0.2112,0.7888,0.457
200,0.6,0.2,35,2,7331,0.1,tanh,199,0.75,0.2259,0.7741,0.3537
200,0.6,0.2,35,2,104729,0.1,max,205,0.8551,0.2314,0.7686,0.3726
200,0.6,0.2,35,2,104729,0.1,softplus,209,0.8986,0.234,0.766,0.3859
200,0.6,0.2,35,2,104729,0.1,potential,203,0.8841,0.2374,0.7626,0.3726
200,0.6,0.2,35,2,104729,0.1,tanh,148,0.6957,0.2595,0.7405,0.2605
200,0.6,0.0,35,2,3407,0.1,max,227,0.92,0.2371,0.7629,0.4269
200,0.6,0.0,35,2,3407,0.1,softplus,215,0.9067,0.2455,0.7545,0.4019
200,0.6,0.0,35,2,3407,0.1,potential,233,0.92,0.2323,0.7677,0.4385
200,0.6,0.0,35,2,3407,0.1,tanh,184,0.8133,0.2596,0.7404,0.3346
200,0.6,0.0,35,2,7331,0.1,max,221,0.9028,0.2313,0.7687,0.413
200,0.6,0.0,35,2,7331,0.1,softplus,232,0.9167,0.2237,0.7763,0.4379
200,0.6,0.0,35,2,7331,0.1,potential,217,0.9306,0.2393,0.7607,0.4073
200,0.6,0.0,35,2,7331,0.1,tanh,196,0.7917,0.2365,0.7635,0.3518
200,0.6,0.0,35,2,104729,0.1,max,188,0.8696,0.249,0.751,0.3441
200,0.6,0.0,35,2,104729,0.1,softplus,198,0.8841,0.2421,0.7579,0.3631
200,0.6,0.0,35,2,104729,0.1,potential,193,0.8696,0.2439,0.7561,0.3536
200,0.6,0.0,35,2,104729,0.1,tanh,145,0.7536,0.2796,0.7204,0.2548
