true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
0.4,0.0,10,2,3407,with_constraint,9,0.7,0.8235,0.1765,0.12
0.4,0.0,10,2,3407,no_constraint,15,0.45,0.6923,0.3077,0.16
0.4,0.0,10,2,7331,with_constraint,6,0.5833,0.7778,0.2222,0.0606
0.4,0.0,10,2,7331,no_constraint,9,0.5,0.5455,0.4545,0.1515
0.4,0.0,10,2,104729,with_constraint,6,0.7778,0.875,0.125,0.0741
0.4,0.0,10,2,104729,no_constraint,7,0.7222,0.8667,0.1333,0.0741
0.4,0.0,10,2,8675309,with_constraint,5,0.7222,0.9286,0.0714,0.037
0.4,0.0,10,2,8675309,no_constraint,11,0.4444,0.6667,0.3333,0.1481
0.6,0.0,10,2,3407,with_constraint,8,0.8,0.8,0.2,0.16
0.6,0.0,10,2,3407,no_constraint,15,0.45,0.6923,0.3077,0.16
0.6,0.0,10,2,7331,with_constraint,7,0.75,0.6429,0.3571,0.1515
0.6,0.0,10,2,7331,no_constraint,9,0.5,0.5455,0.4545,0.1515
0.6,0.0,10,2,104729,with_constraint,5,0.8889,0.8421,0.1579,0.1111
0.6,0.0,10,2,104729,no_constraint,6,0.7778,0.875,0.125,0.0741
0.6,0.0,10,2,8675309,with_constraint,3,0.8333,0.9375,0.0625,0.037
0.6,0.0,10,2,8675309,no_constraint,11,0.4444,0.6667,0.3333,0.1481
0.4,0.0,30,2,3407,with_constraint,45,0.7231,0.6267,0.3733,0.0757
0.4,0.0,30,2,3407,no_constraint,62,0.5231,0.5,0.5,0.0919
0.4,0.0,30,2,7331,with_constraint,42,0.7742,0.6316,0.3684,0.0751
0.4,0.0,30,2,7331,no_constraint,47,0.5484,0.6296,0.3704,0.0536
0.4,0.0,30,2,104729,with_constraint,53,0.7273,0.5128,0.4872,0.1
0.4,0.0,30,2,104729,no_constraint,56,0.5091,0.4828,0.5172,0.0789
0.4,0.0,30,2,8675309,with_constraint,36,0.7143,0.6716,0.3284,0.0591
0.4,0.0,30,2,8675309,no_constraint,55,0.381,0.5106,0.4894,0.0618
0.6,0.0,30,2,3407,with_constraint,44,0.8,0.619,0.381,0.0865
0.6,0.0,30,2,3407,no_constraint,62,0.4923,0.5079,0.4921,0.0838
0.6,0.0,30,2,7331,with_constraint,34,0.871,0.675,0.325,0.0697
0.6,0.0,30,2,7331,no_constraint,51,0.5484,0.5862,0.4138,0.0643
0.6,0.0,30,2,104729,with_constraint,53,0.8,0.5057,0.4943,0.1132
0.6,0.0,30,2,104729,no_constraint,63,0.4909,0.4286,0.5714,0.0947
0.6,0.0,30,2,8675309,with_constraint,39,0.8095,0.6456,0.3544,0.0753
0.6,0.0,30,2,8675309,no_constraint,55,0.3968,0.5435,0.4565,0.0565
0.4,0.2,10,2,3407,with_constraint,11,0.65,0.7647,0.2353,0.16
0.4,0.2,10,2,3407,no_constraint,15,0.45,0.6923,0.3077,0.16
0.4,0.2,10,2,7331,with_constraint,8,0.5833,0.6364,0.3636,0.1212
0.4,0.2,10,2,7331,no_constraint,9,0.5,0.5455,0.4545,0.1515
0.4,0.2,10,2,104729,with_constraint,6,0.8333,0.8333,0.1667,0.1111
0.4,0.2,10,2,104729,no_constraint,6,0.7778,0.875,0.125,0.0741
0.4,0.2,10,2,8675309,with_constraint,5,0.7778,0.9333,0.0667,0.037
0.4,0.2,10,2,8675309,no_constraint,8,0.5556,0.8333,0.1667,0.0741
0.6,0.2,10,2,3407,with_constraint,12,0.75,0.6818,0.3182,0.28
0.6,0.2,10,2,3407,no_constraint,15,0.45,0.6923,0.3077,0.16
0.6,0.2,10,2,7331,with_constraint,7,0.75,0.6429,0.3571,0.1515
0.6,0.2,10,2,7331,no_constraint,9,0.5,0.5455,0.4545,0.1515
0.6,0.2,10,2,104729,with_constraint,5,0.9444,0.8095,0.1905,0.1481
0.6,0.2,10,2,104729,no_constraint,6,0.7778,0.875,0.125,0.0741
0.6,0.2,10,2,8675309,with_constraint,4,0.8889,0.8889,0.1111,0.0741
0.6,0.2,10,2,8675309,no_constraint,11,0.4444,0.6667,0.3333,0.1481
0.4,0.2,30,2,3407,with_constraint,50,0.7385,0.5854,0.4146,0.0919
0.4,0.2,30,2,3407,no_constraint,62,0.4923,0.5079,0.4921,0.0838
0.4,0.2,30,2,7331,with_constraint,45,0.6935,0.589,0.411,0.0804
0.4,0.2,30,2,7331,no_constraint,49,0.5645,0.614,0.386,0.059
0.4,0.2,30,2,104729,with_constraint,57,0.7273,0.4762,0.5238,0.1158
0.4,0.2,30,2,104729,no_constraint,60,0.4545,0.4464,0.5536,0.0816
0.4,0.2,30,2,8675309,with_constraint,49,0.6984,0.5714,0.4286,0.0887
0.4,0.2,30,2,8675309,no_constraint,62,0.3492,0.4681,0.5319,0.0672
0.6,0.2,30,2,3407,with_constraint,59,0.8154,0.5248,0.4752,0.1297
0.6,0.2,30,2,3407,no_constraint,64,0.4769,0.4844,0.5156,0.0892
0.6,0.2,30,2,7331,with_constraint,53,0.8065,0.5435,0.4565,0.1126
0.6,0.2,30,2,7331,no_constraint,49,0.5645,0.614,0.386,0.059
0.6,0.2,30,2,104729,with_constraint,51,0.7455,0.5125,0.4875,0.1026
0.6,0.2,30,2,104729,no_constraint,59,0.4909,0.4576,0.5424,0.0842
0.6,0.2,30,2,8675309,with_constraint,52,0.7778,0.5506,0.4494,0.1075
0.6,0.2,30,2,8675309,no_constraint,51,0.4286,0.5745,0.4255,0.0538
