n,true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
300,0.4,0.2,10,2,3407,with_constraint_adj,8,0.8,0.8,0.2,0.16
300,0.4,0.2,10,2,3407,with_constraint_tc,11,0.6,0.8,0.2,0.12
300,0.4,0.2,10,2,3407,no_constraint,11,0.6,0.75,0.25,0.16
300,0.4,0.2,10,2,7331,with_constraint_adj,8,0.5833,0.7,0.3,0.0909
300,0.4,0.2,10,2,7331,with_constraint_tc,9,0.3333,0.6667,0.3333,0.0606
300,0.4,0.2,10,2,7331,no_constraint,9,0.4167,0.7143,0.2857,0.0606
300,0.4,0.2,10,2,104729,with_constraint_adj,6,0.8889,0.8,0.2,0.1481
300,0.4,0.2,10,2,104729,with_constraint_tc,7,0.7778,0.8235,0.1765,0.1111
300,0.4,0.2,10,2,104729,no_constraint,7,0.8333,0.7895,0.2105,0.1481
300,0.4,0.2,10,2,8675309,with_constraint_adj,5,0.8889,0.8421,0.1579,0.1111
300,0.4,0.2,10,2,8675309,with_constraint_tc,9,0.5556,0.8333,0.1667,0.0741
300,0.4,0.2,10,2,8675309,no_constraint,9,0.5556,0.8333,0.1667,0.0741
300,0.4,0.0,10,2,3407,with_constraint_adj,7,0.8,0.8421,0.1579,0.12
300,0.4,0.0,10,2,3407,with_constraint_tc,9,0.65,0.8125,0.1875,0.12
300,0.4,0.0,10,2,3407,no_constraint,10,0.65,0.7647,0.2353,0.16
300,0.4,0.0,10,2,7331,with_constraint_adj,8,0.5833,0.7,0.3,0.0909
300,0.4,0.0,10,2,7331,with_constraint_tc,9,0.3333,0.6667,0.3333,0.0606
300,0.4,0.0,10,2,7331,no_constraint,9,0.4167,0.7143,0.2857,0.0606
300,0.4,0.0,10,2,104729,with_constraint_adj,5,0.8889,0.8421,0.1579,0.1111
300,0.4,0.0,10,2,104729,with_constraint_tc,8,0.7222,0.8125,0.1875,0.1111
300,0.4,0.0,10,2,104729,no_constraint,8,0.6667,0.8571,0.1429,0.0741
300,0.4,0.0,10,2,8675309,with_constraint_adj,5,0.8333,0.8333,0.1667,0.1111
300,0.4,0.0,10,2,8675309,with_constraint_tc,9,0.5556,0.8333,0.1667,0.0741
300,0.4,0.0,10,2,8675309,no_constraint,9,0.5556,0.8333,0.1667,0.0741
300,0.6,0.2,10,2,3407,with_constraint_adj,10,0.8,0.7273,0.2727,0.24
300,0.6,0.2,10,2,3407,with_constraint_tc,13,0.55,0.6111,0.3889,0.28
300,0.6,0.2,10,2,3407,no_constraint,10,0.65,0.7647,0.2353,0.16
300,0.6,0.2,10,2,7331,with_constraint_adj,6,0.75,0.75,0.25,0.0909
300,0.6,0.2,10,2,7331,with_constraint_tc,9,0.4167,0.625,0.375,0.0909
300,0.6,0.2,10,2,7331,no_constraint,9,0.4167,0.7143,0.2857,0.0606
300,0.6,0.2,10,2,104729,with_constraint_adj,8,0.8889,0.7273,0.2727,0.2222
300,0.6,0.2,10,2,104729,with_constraint_tc,6,0.7778,0.875,0.125,0.0741
300,0.6,0.2,10,2,104729,no_constraint,9,0.7222,0.7647,0.2353,0.1481
300,0.6,0.2,10,2,8675309,with_constraint_adj,4,0.9444,0.85,0.15,0.1111
300,0.6,0.2,10,2,8675309,with_constraint_tc,8,0.6111,0.8462,0.1538,0.0741
300,0.6,0.2,10,2,8675309,no_constraint,9,0.5556,0.8333,0.1667,0.0741
300,0.6,0.0,10,2,3407,with_constraint_adj,7,0.8,0.8421,0.1579,0.12
300,0.6,0.0,10,2,3407,with_constraint_tc,9,0.65,0.8667,0.1333,0.08
300,0.6,0.0,10,2,3407,no_constraint,10,0.65,0.7647,0.2353,0.16
300,0.6,0.0,10,2,7331,with_constraint_adj,6,0.75,0.75,0.25,0.0909
300,0.6,0.0,10,2,7331,with_constraint_tc,7,0.5833,0.7,0.3,0.0909
300,0.6,0.0,10,2,7331,no_constraint,9,0.4167,0.7143,0.2857,0.0606
300,0.6,0.0,10,2,104729,with_constraint_adj,6,0.8889,0.8,0.2,0.1481
300,0.6,0.0,10,2,104729,with_constraint_tc,6,0.7778,0.875,0.125,0.0741
300,0.6,0.0,10,2,104729,no_constraint,8,0.6667,0.8571,0.1429,0.0741
300,0.6,0.0,10,2,8675309,with_constraint_adj,2,0.9444,0.9444,0.0556,0.037
300,0.6,0.0,10,2,8675309,with_constraint_tc,7,0.6667,0.8571,0.1429,0.0741
300,0.6,0.0,10,2,8675309,no_constraint,9,0.5556,0.8333,0.1667,0.0741
300,0.4,0.2,30,2,3407,with_constraint_adj,70,0.8615,0.4746,0.5254,0.1676
300,0.4,0.2,30,2,3407,with_constraint_tc,85,0.7231,0.4017,0.5983,0.1892
300,0.4,0.2,30,2,3407,no_constraint,89,0.7692,0.3968,0.6032,0.2054
300,0.4,0.2,30,2,7331,with_constraint_adj,80,0.9032,0.4275,0.5725,0.2011
