n,true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
1200,0.4,0.2,15,2,3407,with_constraint_adj,13,1.0,0.7234,0.2766,0.1831
1200,0.4,0.2,15,2,3407,with_constraint_tc,6,0.8235,0.9655,0.0345,0.0141
1200,0.4,0.2,15,2,3407,no_constraint,7,0.8235,0.9333,0.0667,0.0282
1200,0.4,0.2,15,2,7331,with_constraint_adj,26,0.75,0.4737,0.5263,0.2469
1200,0.4,0.2,15,2,7331,with_constraint_tc,11,0.5833,0.875,0.125,0.0247
1200,0.4,0.2,15,2,7331,no_constraint,12,0.5833,0.7368,0.2632,0.0617
1200,0.4,0.2,15,2,104729,with_constraint_adj,26,0.8667,0.5417,0.4583,0.2933
1200,0.4,0.2,15,2,104729,with_constraint_tc,13,0.6667,0.8696,0.1304,0.04
1200,0.4,0.2,15,2,104729,no_constraint,11,0.7333,0.8462,0.1538,0.0533
1200,0.4,0.2,15,2,8675309,with_constraint_adj,35,0.7879,0.4815,0.5185,0.3889
1200,0.4,0.2,15,2,8675309,with_constraint_tc,16,0.6061,0.8333,0.1667,0.0556
1200,0.4,0.2,15,2,8675309,no_constraint,13,0.697,0.8214,0.1786,0.0694
1200,0.4,0.0,15,2,3407,with_constraint_adj,10,1.0,0.7727,0.2273,0.1408
1200,0.4,0.0,15,2,3407,with_constraint_tc,7,0.8235,0.9655,0.0345,0.0141
1200,0.4,0.0,15,2,3407,no_constraint,6,0.8529,0.9667,0.0333,0.0141
1200,0.4,0.0,15,2,7331,with_constraint_adj,21,0.7917,0.5429,0.4571,0.1975
1200,0.4,0.0,15,2,7331,with_constraint_tc,9,0.625,0.8333,0.1667,0.037
1200,0.4,0.0,15,2,7331,no_constraint,12,0.5833,0.7368,0.2632,0.0617
1200,0.4,0.0,15,2,104729,with_constraint_adj,21,0.8667,0.6047,0.3953,0.2267
1200,0.4,0.0,15,2,104729,with_constraint_tc,13,0.6667,0.8696,0.1304,0.04
1200,0.4,0.0,15,2,104729,no_constraint,12,0.7,0.84,0.16,0.0533
1200,0.4,0.0,15,2,8675309,with_constraint_adj,30,0.7576,0.5319,0.4681,0.3056
1200,0.4,0.0,15,2,8675309,with_constraint_tc,15,0.6364,0.84,0.16,0.0556
1200,0.4,0.0,15,2,8675309,no_constraint,14,0.6667,0.7857,0.2143,0.0833
1200,0.6,0.2,15,2,3407,with_constraint_adj,24,0.9412,0.5926,0.4074,0.3099
1200,0.6,0.2,15,2,3407,with_constraint_tc,8,0.8235,0.9032,0.0968,0.0423
1200,0.6,0.2,15,2,3407,no_constraint,5,0.8824,0.9677,0.0323,0.0141
1200,0.6,0.2,15,2,7331,with_constraint_adj,29,0.875,0.4468,0.5532,0.321
1200,0.6,0.2,15,2,7331,with_constraint_tc,8,0.6667,0.8421,0.1579,0.037
1200,0.6,0.2,15,2,7331,no_constraint,12,0.5833,0.7368,0.2632,0.0617
1200,0.6,0.2,15,2,104729,with_constraint_adj,37,0.9,0.4426,0.5574,0.4533
1200,0.6,0.2,15,2,104729,with_constraint_tc,12,0.6667,0.9091,0.0909,0.0267
1200,0.6,0.2,15,2,104729,no_constraint,13,0.7,0.7778,0.2222,0.08
1200,0.6,0.2,15,2,8675309,with_constraint_adj,46,0.7879,0.3939,0.6061,0.5556
1200,0.6,0.2,15,2,8675309,with_constraint_tc,17,0.6364,0.75,0.25,0.0972
1200,0.6,0.2,15,2,8675309,no_constraint,15,0.6364,0.8077,0.1923,0.0694
1200,0.6,0.0,15,2,3407,with_constraint_adj,19,0.9118,0.6596,0.3404,0.2254
1200,0.6,0.0,15,2,3407,with_constraint_tc,7,0.8235,0.9333,0.0667,0.0282
1200,0.6,0.0,15,2,3407,no_constraint,7,0.8235,0.9655,0.0345,0.0141
1200,0.6,0.0,15,2,7331,with_constraint_adj,24,0.875,0.5,0.5,0.2593
1200,0.6,0.0,15,2,7331,with_constraint_tc,9,0.6667,0.8,0.2,0.0494
1200,0.6,0.0,15,2,7331,no_constraint,12,0.5833,0.7368,0.2632,0.0617
1200,0.6,0.0,15,2,104729,with_constraint_adj,29,0.8667,0.5098,0.4902,0.3333
1200,0.6,0.0,15,2,104729,with_constraint_tc,10,0.7,0.9545,0.0455,0.0133
1200,0.6,0.0,15,2,104729,no_constraint,11,0.7333,0.8462,0.1538,0.0533
1200,0.6,0.0,15,2,8675309,with_constraint_adj,38,0.7879,0.4561,0.5439,0.4306
1200,0.6,0.0,15,2,8675309,with_constraint_tc,15,0.6364,0.84,0.16,0.0556
1200,0.6,0.0,15,2,8675309,no_constraint,13,0.697,0.8214,0.1786,0.0694
1200,0.4,0.2,30,2,3407,with_constraint_adj,64,0.8154,0.5048,0.4952,0.1405
1200,0.4,0.2,30,2,3407,with_constraint_tc,30,0.5692,0.9487,0.0513,0.0054
1200,0.4,0.2,30,2,3407,no_constraint,25,0.6923,0.9,0.1,0.0135
1200,0.4,0.2,30,2,7331,with_constraint_adj,61,0.8226,0.505,0.495,0.134
1200,0.4,0.2,30,2,7331,with_constraint_tc,28,0.5484,0.9714,0.0286,0.0027
1200,0.4,0.2,30,2,7331,no_constraint,27,0.629,0.8864,0.1136,0.0134
1200,0.4,0.2,30,2,104729,with_constraint_adj,48,0.8727,0.5393,0.4607,0.1079
1200,0.4,0.2,30,2,104729,with_constraint_tc,23,0.6727,0.8605,0.1395,0.0158
1200,0.4,0.2,30,2,104729,no_constraint,19,0.7091,0.9286,0.0714,0.0079
1200,0.4,0.2,30,2,8675309,with_constraint_adj,81,0.7778,0.4188,0.5812,0.1828
1200,0.4,0.2,30,2,8675309,with_constraint_tc,27,0.5714,0.9231,0.0769,0.0081
1200,0.4,0.2,30,2,8675309,no_constraint,27,0.6667,0.8235,0.1765,0.0242
1200,0.4,0.0,30,2,3407,with_constraint_adj,53,0.8154,0.5638,0.4362,0.1108
1200,0.4,0.0,30,2,3407,with_constraint_tc,32,0.5538,0.9231,0.0769,0.0081
1200,0.4,0.0,30,2,3407,no_constraint,25,0.6923,0.9,0.1,0.0135
1200,0.4,0.0,30,2,7331,with_constraint_adj,50,0.8065,0.5682,0.4318,0.1019
1200,0.4,0.0,30,2,7331,with_constraint_tc,23,0.6774,0.9333,0.0667,0.008
1200,0.4,0.0,30,2,7331,no_constraint,24,0.6452,0.9524,0.0476,0.0054
1200,0.4,0.0,30,2,104729,with_constraint_adj,37,0.8727,0.6154,0.3846,0.0789
1200,0.4,0.0,30,2,104729,with_constraint_tc,17,0.7455,0.9318,0.0682,0.0079
1200,0.4,0.0,30,2,104729,no_constraint,19,0.7091,0.9286,0.0714,0.0079
1200,0.4,0.0,30,2,8675309,with_constraint_adj,66,0.8095,0.4811,0.5189,0.1478
1200,0.4,0.0,30,2,8675309,with_constraint_tc,24,0.6984,0.8627,0.1373,0.0188
1200,0.4,0.0,30,2,8675309,no_constraint,28,0.6508,0.82,0.18,0.0242
1200,0.6,0.2,30,2,3407,with_constraint_adj,82,0.8615,0.4308,0.5692,0.2
1200,0.6,0.2,30,2,3407,with_constraint_tc,31,0.5692,0.925,0.075,0.0081
1200,0.6,0.2,30,2,3407,no_constraint,26,0.6923,0.8824,0.1176,0.0162
1200,0.6,0.2,30,2,7331,with_constraint_adj,77,0.8871,0.44,0.56,0.1877
1200,0.6,0.2,30,2,7331,with_constraint_tc,27,0.5968,0.9024,0.0976,0.0107
1200,0.6,0.2,30,2,7331,no_constraint,27,0.629,0.8864,0.1136,0.0134
1200,0.6,0.2,30,2,104729,with_constraint_adj,64,0.9091,0.4587,0.5413,0.1553
1200,0.6,0.2,30,2,104729,with_constraint_tc,23,0.6727,0.8605,0.1395,0.0158
1200,0.6,0.2,30,2,104729,no_constraint,18,0.7273,0.9302,0.0698,0.0079
1200,0.6,0.2,30,2,8675309,with_constraint_adj,101,0.8571,0.3673,0.6327,0.25
1200,0.6,0.2,30,2,8675309,with_constraint_tc,27,0.6032,0.9048,0.0952,0.0108
1200,0.6,0.2,30,2,8675309,no_constraint,28,0.6667,0.8077,0.1923,0.0269
1200,0.6,0.0,30,2,3407,with_constraint_adj,65,0.8923,0.5,0.5,0.1568
1200,0.6,0.0,30,2,3407,with_constraint_tc,31,0.5385,0.9722,0.0278,0.0027
1200,0.6,0.0,30,2,3407,no_constraint,25,0.7077,0.8846,0.1154,0.0162
1200,0.6,0.0,30,2,7331,with_constraint_adj,61,0.9032,0.5045,0.4955,0.1475
1200,0.6,0.0,30,2,7331,with_constraint_tc,24,0.629,0.9512,0.0488,0.0054
1200,0.6,0.0,30,2,7331,no_constraint,26,0.6452,0.8889,0.1111,0.0134
1200,0.6,0.0,30,2,104729,with_constraint_adj,51,0.9091,0.5208,0.4792,0.1211
1200,0.6,0.0,30,2,104729,with_constraint_tc,19,0.7091,0.9286,0.0714,0.0079
1200,0.6,0.0,30,2,104729,no_constraint,18,0.7455,0.9111,0.0889,0.0105
1200,0.6,0.0,30,2,8675309,with_constraint_adj,83,0.873,0.4198,0.5802,0.2043
1200,0.6,0.0,30,2,8675309,with_constraint_tc,28,0.6032,0.8261,0.1739,0.0215
1200,0.6,0.0,30,2,8675309,no_constraint,27,0.6667,0.8235,0.1765,0.0242
