n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr
300,0.4,0.2,20,2,3407,0.1,with_constraint_adj,38,0.825,0.5156,0.4844,0.2067
300,0.4,0.2,20,2,3407,0.1,with_constraint_tc,24,0.725,0.6744,0.3256,0.0933
300,0.4,0.2,20,2,3407,0.1,no_constraint,27,0.7,0.6087,0.3913,0.12
300,0.4,0.2,20,2,7331,0.1,with_constraint_adj,38,0.8,0.4667,0.5333,0.2065
300,0.4,0.2,20,2,7331,0.1,with_constraint_tc,25,0.6286,0.6286,0.3714,0.0839
300,0.4,0.2,20,2,7331,0.1,no_constraint,28,0.7429,0.5532,0.4468,0.1355
300,0.4,0.2,20,2,104729,0.1,with_constraint_adj,36,0.871,0.4576,0.5424,0.2013
300,0.4,0.2,20,2,104729,0.1,with_constraint_tc,18,0.7097,0.6875,0.3125,0.0629
300,0.4,0.2,20,2,104729,0.1,no_constraint,27,0.7419,0.5349,0.4651,0.1258
300,0.4,0.0,20,2,3407,0.1,with_constraint_adj,40,0.825,0.4925,0.5075,0.2267
300,0.4,0.0,20,2,3407,0.1,with_constraint_tc,24,0.725,0.6744,0.3256,0.0933
300,0.4,0.0,20,2,3407,0.1,no_constraint,22,0.725,0.7073,0.2927,0.08
300,0.4,0.0,20,2,7331,0.1,with_constraint_adj,33,0.8286,0.5179,0.4821,0.1742
300,0.4,0.0,20,2,7331,0.1,with_constraint_tc,22,0.7143,0.641,0.359,0.0903
300,0.4,0.0,20,2,7331,0.1,no_constraint,28,0.7143,0.5556,0.4444,0.129
300,0.4,0.0,20,2,104729,0.1,with_constraint_adj,36,0.8387,0.4561,0.5439,0.195
300,0.4,0.0,20,2,104729,0.1,with_constraint_tc,28,0.7097,0.5238,0.4762,0.1258
300,0.4,0.0,20,2,104729,0.1,no_constraint,27,0.7419,0.5349,0.4651,0.1258
300,0.6,0.2,20,2,3407,0.1,with_constraint_adj,52,0.85,0.4198,0.5802,0.3133
300,0.6,0.2,20,2,3407,0.1,with_constraint_tc,22,0.7,0.7368,0.2632,0.0667
300,0.6,0.2,20,2,3407,0.1,no_constraint,24,0.725,0.6744,0.3256,0.0933
300,0.6,0.2,20,2,7331,0.1,with_constraint_adj,48,0.8571,0.4054,0.5946,0.2839
300,0.6,0.2,20,2,7331,0.1,with_constraint_tc,28,0.7143,0.5682,0.4318,0.1226
300,0.6,0.2,20,2,7331,0.1,no_constraint,29,0.7143,0.5435,0.4565,0.1355
300,0.6,0.2,20,2,104729,0.1,with_constraint_adj,42,0.9355,0.4203,0.5797,0.2516
300,0.6,0.2,20,2,104729,0.1,with_constraint_tc,26,0.7097,0.55,0.45,0.1132
300,0.6,0.2,20,2,104729,0.1,no_constraint,28,0.7419,0.5227,0.4773,0.1321
300,0.6,0.0,20,2,3407,0.1,with_constraint_adj,40,0.875,0.493,0.507,0.24
300,0.6,0.0,20,2,3407,0.1,with_constraint_tc,21,0.725,0.725,0.275,0.0733
300,0.6,0.0,20,2,3407,0.1,no_constraint,29,0.7,0.5833,0.4167,0.1333
300,0.6,0.0,20,2,7331,0.1,with_constraint_adj,34,0.8857,0.5082,0.4918,0.1935
300,0.6,0.0,20,2,7331,0.1,with_constraint_tc,29,0.7429,0.5532,0.4468,0.1355
300,0.6,0.0,20,2,7331,0.1,no_constraint,29,0.7143,0.5435,0.4565,0.1355
300,0.6,0.0,20,2,104729,0.1,with_constraint_adj,37,0.9032,0.4516,0.5484,0.2138
300,0.6,0.0,20,2,104729,0.1,with_constraint_tc,27,0.7097,0.5366,0.4634,0.1195
300,0.6,0.0,20,2,104729,0.1,no_constraint,27,0.7419,0.5349,0.4651,0.1258
300,0.4,0.2,35,2,3407,0.1,with_constraint_adj,161,0.8667,0.2968,0.7032,0.2962
300,0.4,0.2,35,2,3407,0.1,with_constraint_tc,79,0.7067,0.4775,0.5225,0.1115
300,0.4,0.2,35,2,3407,0.1,no_constraint,113,0.8,0.3727,0.6273,0.1942
300,0.4,0.2,35,2,7331,0.1,with_constraint_adj,143,0.8333,0.3125,0.6875,0.2524
300,0.4,0.2,35,2,7331,0.1,with_constraint_tc,91,0.6389,0.4035,0.5965,0.13
300,0.4,0.2,35,2,7331,0.1,no_constraint,108,0.6944,0.3571,0.6429,0.1721
300,0.4,0.2,35,2,104729,0.1,with_constraint_adj,149,0.7971,0.285,0.715,0.2624
300,0.4,0.2,35,2,104729,0.1,with_constraint_tc,86,0.6232,0.4175,0.5825,0.1141
300,0.4,0.2,35,2,104729,0.1,no_constraint,102,0.6812,0.3588,0.6412,0.1597
300,0.4,0.0,35,2,3407,0.1,with_constraint_adj,154,0.8667,0.3081,0.6919,0.2808
300,0.4,0.0,35,2,3407,0.1,with_constraint_tc,93,0.76,0.4286,0.5714,0.1462
300,0.4,0.0,35,2,3407,0.1,no_constraint,129,0.76,0.3314,0.6686,0.2212
300,0.4,0.0,35,2,7331,0.1,with_constraint_adj,134,0.8472,0.328,0.672,0.239
300,0.4,0.0,35,2,7331,0.1,with_constraint_tc,105,0.6528,0.3615,0.6385,0.1587
300,0.4,0.0,35,2,7331,0.1,no_constraint,91,0.6528,0.4052,0.5948,0.1319
300,0.4,0.0,35,2,104729,0.1,with_constraint_adj,148,0.8261,0.2893,0.7107,0.2662
300,0.4,0.0,35,2,104729,0.1,with_constraint_tc,88,0.6232,0.4019,0.5981,0.1217
300,0.4,0.0,35,2,104729,0.1,no_constraint,103,0.6812,0.3534,0.6466,0.1635
300,0.6,0.2,35,2,3407,0.1,with_constraint_adj,203,0.8667,0.25,0.75,0.375
300,0.6,0.2,35,2,3407,0.1,with_constraint_tc,89,0.6933,0.437,0.563,0.1288
300,0.6,0.2,35,2,3407,0.1,no_constraint,106,0.7733,0.3867,0.6133,0.1769
300,0.6,0.2,35,2,7331,0.1,with_constraint_adj,182,0.8889,0.2667,0.7333,0.3365
300,0.6,0.2,35,2,7331,0.1,with_constraint_tc,99,0.5972,0.3772,0.6228,0.1358
300,0.6,0.2,35,2,7331,0.1,no_constraint,121,0.6806,0.3311,0.6689,0.1893
300,0.6,0.2,35,2,104729,0.1,with_constraint_adj,177,0.942,0.2731,0.7269,0.3289
300,0.6,0.2,35,2,104729,0.1,with_constraint_tc,82,0.6232,0.4216,0.5784,0.1122
300,0.6,0.2,35,2,104729,0.1,no_constraint,114,0.6957,0.3288,0.6712,0.1863
300,0.6,0.0,35,2,3407,0.1,with_constraint_adj,191,0.88,0.2651,0.7349,0.3519
300,0.6,0.0,35,2,3407,0.1,with_constraint_tc,77,0.7333,0.4867,0.5133,0.1115
300,0.6,0.0,35,2,3407,0.1,no_constraint,114,0.7867,0.3711,0.6289,0.1923
300,0.6,0.0,35,2,7331,0.1,with_constraint_adj,157,0.8889,0.3005,0.6995,0.2849
300,0.6,0.0,35,2,7331,0.1,with_constraint_tc,97,0.6528,0.3917,0.6083,0.1396
300,0.6,0.0,35,2,7331,0.1,no_constraint,121,0.6389,0.3172,0.6828,0.1893
300,0.6,0.0,35,2,104729,0.1,with_constraint_adj,144,0.913,0.3119,0.6881,0.2643
300,0.6,0.0,35,2,104729,0.1,with_constraint_tc,89,0.6522,0.4018,0.5982,0.1274
300,0.6,0.0,35,2,104729,0.1,no_constraint,98,0.7101,0.3769,0.6231,0.154
300,0.4,0.2,20,2,3407,0.2,with_constraint_adj,40,0.8,0.5,0.5,0.2133
300,0.4,0.2,20,2,3407,0.2,with_constraint_tc,26,0.625,0.6757,0.3243,0.08
300,0.4,0.2,20,2,3407,0.2,no_constraint,27,0.7,0.6087,0.3913,0.12
300,0.4,0.2,20,2,7331,0.2,with_constraint_adj,40,0.7714,0.45,0.55,0.2129
300,0.4,0.2,20,2,7331,0.2,with_constraint_tc,26,0.7429,0.5778,0.4222,0.1226
300,0.4,0.2,20,2,7331,0.2,no_constraint,22,0.7714,0.6429,0.3571,0.0968
300,0.4,0.2,20,2,104729,0.2,with_constraint_adj,37,0.871,0.45,0.55,0.2075
300,0.4,0.2,20,2,104729,0.2,with_constraint_tc,26,0.7097,0.55,0.45,0.1132
300,0.4,0.2,20,2,104729,0.2,no_constraint,28,0.7419,0.5227,0.4773,0.1321
300,0.4,0.0,20,2,3407,0.2,with_constraint_adj,41,0.8,0.4776,0.5224,0.2333
300,0.4,0.0,20,2,3407,0.2,with_constraint_tc,29,0.675,0.6136,0.3864,0.1133
300,0.4,0.0,20,2,3407,0.2,no_constraint,24,0.725,0.6744,0.3256,0.0933
300,0.4,0.0,20,2,7331,0.2,with_constraint_adj,34,0.8286,0.5088,0.4912,0.1806
300,0.4,0.0,20,2,7331,0.2,with_constraint_tc,30,0.6857,0.5455,0.4545,0.129
300,0.4,0.0,20,2,7331,0.2,no_constraint,22,0.7714,0.6429,0.3571,0.0968
300,0.4,0.0,20,2,104729,0.2,with_constraint_adj,32,0.871,0.4909,0.5091,0.1761
300,0.4,0.0,20,2,104729,0.2,with_constraint_tc,26,0.7097,0.55,0.45,0.1132
300,0.4,0.0,20,2,104729,0.2,no_constraint,20,0.7419,0.6389,0.3611,0.0818
300,0.6,0.2,20,2,3407,0.2,with_constraint_adj,51,0.825,0.4231,0.5769,0.3
300,0.6,0.2,20,2,3407,0.2,with_constraint_tc,25,0.675,0.675,0.325,0.0867
300,0.6,0.2,20,2,3407,0.2,no_constraint,29,0.7,0.5833,0.4167,0.1333
300,0.6,0.2,20,2,7331,0.2,with_constraint_adj,42,0.8857,0.4429,0.5571,0.2516
300,0.6,0.2,20,2,7331,0.2,with_constraint_tc,30,0.6286,0.55,0.45,0.1161
300,0.6,0.2,20,2,7331,0.2,no_constraint,24,0.6857,0.6154,0.3846,0.0968
300,0.6,0.2,20,2,104729,0.2,with_constraint_adj,46,0.9677,0.4,0.6,0.283
300,0.6,0.2,20,2,104729,0.2,with_constraint_tc,19,0.7097,0.6667,0.3333,0.0692
300,0.6,0.2,20,2,104729,0.2,no_constraint,28,0.7419,0.5227,0.4773,0.1321
300,0.6,0.0,20,2,3407,0.2,with_constraint_adj,40,0.9,0.4932,0.5068,0.2467
300,0.6,0.0,20,2,3407,0.2,with_constraint_tc,24,0.7,0.6667,0.3333,0.0933
300,0.6,0.0,20,2,3407,0.2,no_constraint,21,0.725,0.725,0.275,0.0733
300,0.6,0.0,20,2,7331,0.2,with_constraint_adj,35,0.8857,0.4921,0.5079,0.2065
300,0.6,0.0,20,2,7331,0.2,with_constraint_tc,30,0.7143,0.5435,0.4565,0.1355
300,0.6,0.0,20,2,7331,0.2,no_constraint,25,0.7143,0.5952,0.4048,0.1097
300,0.6,0.0,20,2,104729,0.2,with_constraint_adj,39,0.9032,0.4375,0.5625,0.2264
300,0.6,0.0,20,2,104729,0.2,with_constraint_tc,26,0.7097,0.55,0.45,0.1132
300,0.6,0.0,20,2,104729,0.2,no_constraint,27,0.7097,0.5366,0.4634,0.1195
300,0.4,0.2,35,2,3407,0.2,with_constraint_adj,163,0.84,0.2903,0.7097,0.2962
300,0.4,0.2,35,2,3407,0.2,with_constraint_tc,71,0.72,0.5143,0.4857,0.0981
300,0.4,0.2,35,2,3407,0.2,no_constraint,107,0.8,0.3896,0.6104,0.1808
300,0.4,0.2,35,2,7331,0.2,with_constraint_adj,149,0.875,0.3088,0.6912,0.2696
300,0.4,0.2,35,2,7331,0.2,with_constraint_tc,71,0.5694,0.494,0.506,0.0803
300,0.4,0.2,35,2,7331,0.2,no_constraint,111,0.6528,0.3456,0.6544,0.1702
300,0.4,0.2,35,2,104729,0.2,with_constraint_adj,140,0.8116,0.3043,0.6957,0.2433
300,0.4,0.2,35,2,104729,0.2,with_constraint_tc,91,0.5942,0.3905,0.6095,0.1217
300,0.4,0.2,35,2,104729,0.2,no_constraint,98,0.6812,0.373,0.627,0.1502
300,0.4,0.0,35,2,3407,0.2,with_constraint_adj,157,0.84,0.3014,0.6986,0.2808
300,0.4,0.0,35,2,3407,0.2,with_constraint_tc,83,0.7333,0.4622,0.5378,0.1231
300,0.4,0.0,35,2,3407,0.2,no_constraint,92,0.8,0.4317,0.5683,0.1519
300,0.4,0.0,35,2,7331,0.2,with_constraint_adj,126,0.8194,0.341,0.659,0.218
300,0.4,0.0,35,2,7331,0.2,with_constraint_tc,97,0.6389,0.3866,0.6134,0.1396
300,0.4,0.0,35,2,7331,0.2,no_constraint,109,0.625,0.3488,0.6512,0.1606
300,0.4,0.0,35,2,104729,0.2,with_constraint_adj,143,0.8406,0.3053,0.6947,0.251
300,0.4,0.0,35,2,104729,0.2,with_constraint_tc,101,0.6522,0.36,0.64,0.1521
300,0.4,0.0,35,2,104729,0.2,no_constraint,103,0.6812,0.3561,0.6439,0.1616
300,0.6,0.2,35,2,3407,0.2,with_constraint_adj,202,0.8933,0.2557,0.7443,0.375
300,0.6,0.2,35,2,3407,0.2,with_constraint_tc,77,0.7067,0.4862,0.5138,0.1077
300,0.6,0.2,35,2,3407,0.2,no_constraint,107,0.8,0.3896,0.6104,0.1808
300,0.6,0.2,35,2,7331,0.2,with_constraint_adj,163,0.875,0.289,0.711,0.2964
300,0.6,0.2,35,2,7331,0.2,with_constraint_tc,99,0.5556,0.3636,0.6364,0.1338
300,0.6,0.2,35,2,7331,0.2,no_constraint,94,0.6528,0.3917,0.6083,0.1396
300,0.6,0.2,35,2,104729,0.2,with_constraint_adj,156,0.913,0.2958,0.7042,0.2852
