n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr,f1_score
300,0.4,0.4,15,2,3407,0.1,max_soft_regulation,22,0.8824,0.625,0.375,0.2535,0.7317234974127637
300,0.4,0.4,15,2,3407,0.1,dsgp,26,0.3824,0.7222,0.2778,0.0704,0.5000349085641862
300,0.4,0.4,15,2,3407,0.1,无先验,25,0.8529,0.5918,0.4082,0.2817,0.6987557555201772
300,0.4,0.4,15,2,7331,0.1,max_soft_regulation,20,0.7083,0.5152,0.4848,0.1975,0.5965119084593379
300,0.4,0.4,15,2,7331,0.1,dsgp,18,0.375,0.75,0.25,0.037,0.5
300,0.4,0.4,15,2,7331,0.1,无先验,19,0.7083,0.5312,0.4688,0.1852,0.6070979588543768
300,0.4,0.4,15,2,104729,0.1,max_soft_regulation,16,0.8333,0.6944,0.3056,0.1467,0.7575355370818879
300,0.4,0.4,15,2,104729,0.1,dsgp,21,0.4333,0.6842,0.2105,0.0533,0.5305840894854585
300,0.4,0.4,15,2,104729,0.1,无先验,20,0.8333,0.6098,0.3902,0.2133,0.7042427274617143
300,0.4,0.2,15,2,3407,0.1,max_soft_regulation,17,0.8824,0.6977,0.3023,0.1831,0.7792550851211949
300,0.4,0.2,15,2,3407,0.1,dsgp,23,0.3824,0.8667,0.1333,0.0282,0.530663805940277
300,0.4,0.2,15,2,3407,0.1,无先验,16,0.9412,0.6957,0.3043,0.1972,0.8000401246258171
300,0.4,0.2,15,2,7331,0.1,max_soft_regulation,16,0.7917,0.5938,0.4062,0.1605,0.6786163262360159
300,0.4,0.2,15,2,7331,0.1,dsgp,15,0.4167,0.8333,0.1667,0.0247,0.555577776
300,0.4,0.2,15,2,7331,0.1,无先验,17,0.7917,0.5758,0.4242,0.1728,0.6667069250457038
300,0.4,0.2,15,2,104729,0.1,max_soft_regulation,17,0.8333,0.6757,0.3243,0.16,0.7462701259111995
300,0.4,0.2,15,2,104729,0.1,dsgp,19,0.4333,0.8125,0.125,0.0267,0.5651890351581313
300,0.4,0.2,15,2,104729,0.1,无先验,20,0.8333,0.625,0.375,0.2,0.7142734691078654
300,0.6,0.4,15,2,3407,0.1,max_soft_regulation,26,0.9412,0.5714,0.4286,0.338,0.7110957027634538
300,0.6,0.4,15,2,3407,0.1,dsgp,22,0.5882,0.6897,0.2759,0.1127,0.6349190703497927
300,0.6,0.4,15,2,3407,0.1,无先验,22,0.9412,0.6154,0.3846,0.2817,0.7442046511627907
