crop,year,season,state,area,production,fertilizer,pesticide,yield,n,p,k,ph,avg_temp_c,total_rainfall_mm,avg_humidity_percent
Arecanut,1997,Whole Year,assam,73814.0,56708,7024878.38,22882.34,0.796086957,60,18,38,5.8,22.41,1468.92,70.71
Arhar/Tur,1997,Kharif,assam,6637.0,4685,631643.29,2057.47,0.710434783,60,18,38,5.8,22.41,1468.92,70.71
Castor seed,1997,Kharif,assam,796.0,22,75755.32,246.76,0.238333333,60,18,38,5.8,22.41,1468.92,70.71
Coconut,1997,Whole Year,assam,19656.0,126905000,1870661.52,6093.36,5238.051739,60,18,38,5.8,22.41,1468.92,70.71
Cotton(lint),1997,Kharif,assam,1739.0,794,165500.63,539.09,0.420909091,60,18,38,5.8,22.41,1468.92,70.71
Dry chillies,1997,Whole Year,assam,13587.0,9073,1293074.79,4211.97,0.643636364,60,18,38,5.8,22.41,1468.92,70.71
Gram,1997,Rabi,assam,2979.0,1507,283511.43,923.49,0.465454545,60,18,38,5.8,22.41,1468.92,70.71
Jute,1997,Kharif,assam,94520.0,904095,8995468.4,29301.2,9.919565217,60,18,38,5.8,22.41,1468.92,70.71
Linseed,1997,Rabi,assam,10098.0,5158,961026.66,3130.38,0.461363636,60,18,38,5.8,22.41,1468.92,70.71
Maize,1997,Kharif,assam,19216.0,14721,1828786.72,5956.96,0.6156521739999999,60,18,38,5.8,22.41,1468.92,70.71
Mesta,1997,Kharif,assam,5915.0,29003,562930.55,1833.65,4.568947368,60,18,38,5.8,22.41,1468.92,70.71
Niger seed,1997,Whole Year,assam,9914.0,5076,943515.38,3073.34,0.48235294100000004,60,18,38,5.8,22.41,1468.92,70.71
Onion,1997,Whole Year,assam,7832.0,17943,745371.44,2427.92,2.342608696,60,18,38,5.8,22.41,1468.92,70.71
Other  Rabi pulses,1997,Rabi,assam,108297.0,58272,10306625.49,33572.07,0.520869565,60,18,38,5.8,22.41,1468.92,70.71
Potato,1997,Whole Year,assam,75259.0,671871,7162399.03,23330.29,7.561304347999999,60,18,38,5.8,22.41,1468.92,70.71
Rapeseed &Mustard,1997,Rabi,assam,279292.0,154772,26580219.64,86580.52,0.554782609,60,18,38,5.8,22.41,1468.92,70.71
Rice,1997,Autumn,assam,607358.0,398311,57802260.86,188280.98,0.780869565,60,18,38,5.8,22.41,1468.92,70.71
Rice,1997,Summer,assam,174974.0,209623,16652275.58,54241.94,1.060434783,60,18,38,5.8,22.41,1468.92,70.71
Rice,1997,Winter,assam,1743321.0,1647296,165911859.6,540429.51,0.941304348,60,18,38,5.8,22.41,1468.92,70.71
Sesamum,1997,Whole Year,assam,15765.0,8257,1500355.05,4887.15,0.48739130399999997,60,18,38,5.8,22.41,1468.92,70.71
Small millets,1997,Kharif,assam,10490.0,5391,998333.3,3251.9,0.473,60,18,38,5.8,22.41,1468.92,70.71
Sugarcane,1997,Kharif,assam,31318.0,1287451,2980534.06,9708.58,41.89695652,60,18,38,5.8,22.41,1468.92,70.71
Sweet potato,1997,Whole Year,assam,9380.0,32618,892694.6,2907.8,3.440434783,60,18,38,5.8,22.41,1468.92,70.71
Tapioca,1997,Whole Year,assam,2465.0,11728,234594.05,764.15,4.41826087,60,18,38,5.8,22.41,1468.92,70.71
Tobacco,1997,Whole Year,assam,433.0,26,41208.61,134.23,0.38,60,18,38,5.8,22.41,1468.92,70.71
Turmeric,1997,Whole Year,assam,10071.0,6974,958457.07,3122.01,0.67,60,18,38,5.8,22.41,1468.92,70.71
Wheat,1997,Rabi,assam,84698.0,110054,8060708.66,26256.38,1.25952381,60,18,38,5.8,22.41,1468.92,70.71
Arecanut,1997,Whole Year,karnataka,93100.0,133342,8860327.0,28861.0,1.293571429,72,42,25,6.9,23.55,894.16,69.61
Arhar/Tur,1997,Kharif,karnataka,421810.0,98473,40143657.7,130761.1,0.26823529399999996,72,42,25,6.9,23.55,894.16,69.61
Bajra,1997,Kharif,karnataka,301149.0,132056,28660350.33,93356.19,0.404545455,72,42,25,6.9,23.55,894.16,69.61
Bajra,1997,Summer,karnataka,820.0,662,78039.4,254.2,0.81,72,42,25,6.9,23.55,894.16,69.61
Black pepper,1997,Kharif,karnataka,3825.0,924,364025.25,1185.75,0.4375,72,42,25,6.9,23.55,894.16,69.61
Cardamom,1997,Whole Year,karnataka,21230.0,1214,2020459.1,6581.3,0.058571429,72,42,25,6.9,23.55,894.16,69.61
Coriander,1997,Whole Year,karnataka,17317.0,2853,1648058.89,5368.27,0.121333333,72,42,25,6.9,23.55,894.16,69.61
Dry chillies,1997,Kharif,karnataka,186579.0,139206,17756723.43,57839.49,1.078333333,72,42,25,6.9,23.55,894.16,69.61
Dry chillies,1997,Rabi,karnataka,4565.0,7895,434451.05,1415.15,1.869444444,72,42,25,6.9,23.55,894.16,69.61
Garlic,1997,Whole Year,karnataka,5061.0,3799,481655.37,1568.91,1.585,72,42,25,6.9,23.55,894.16,69.61
Ginger,1997,Kharif,karnataka,3619.0,4745,344420.23,1121.89,1.262307692,72,42,25,6.9,23.55,894.16,69.61
Groundnut,1997,Kharif,karnataka,847666.0,525562,80672373.22,262776.46,0.709411765,72,42,25,6.9,23.55,894.16,69.61
Groundnut,1997,Rabi,karnataka,192416.0,181071,18312230.72,59648.96,1.133333333,72,42,25,6.9,23.55,894.16,69.61
Horse-gram,1997,Kharif,karnataka,178872.0,80124,17023248.24,55450.32,0.45,72,42,25,6.9,23.55,894.16,69.61
Horse-gram,1997,Rabi,karnataka,163173.0,82572,15529174.41,50583.63,0.514705882,72,42,25,6.9,23.55,894.16,69.61
Jowar,1997,Kharif,karnataka,389690.0,516093,37086797.3,120803.9,1.228,72,42,25,6.9,23.55,894.16,69.61
